lag_ps,Li_A2,Zr_A2,O_A2,Cl_A2
1.530000000000000071e+01,1.209409061445860134e+00,2.554195452268754329e-01,1.973626949314050694e-01,6.234434499503883620e-01
1.540000000000000036e+01,1.211904756284021278e+00,2.558161801898062304e-01,1.981142449320437149e-01,6.252114265194529397e-01
1.550000000000000000e+01,1.215033883705930684e+00,2.566592843669880386e-01,2.000972272462610280e-01,6.278801991946819649e-01
1.560000000000000142e+01,1.215162909045911066e+00,2.576711731545681117e-01,1.995954948664624418e-01,6.307200871714195856e-01
1.570000000000000107e+01,1.219307981020282927e+00,2.588851887219003611e-01,2.010508401937588507e-01,6.339141672274234418e-01
1.580000000000000071e+01,1.222091792629932838e+00,2.597318900571464195e-01,2.007766160033284120e-01,6.352304397928750790e-01
1.590000000000000036e+01,1.223953824221972075e+00,2.593601581819892088e-01,1.992959555839179386e-01,6.354556480658846151e-01
1.600000000000000000e+01,1.226667054347277075e+00,2.580859449273859574e-01,1.987335607643481716e-01,6.353437250109100765e-01
1.610000000000000142e+01,1.225662130727482202e+00,2.570351957565224499e-01,1.979659985984843218e-01,6.357994053062818729e-01
1.619999999999999929e+01,1.229258158741430185e+00,2.575734060038966655e-01,1.986198465985346273e-01,6.387045619454383427e-01
1.630000000000000071e+01,1.228334269996574246e+00,2.581392590003917520e-01,1.980607267717147679e-01,6.404899211066245046e-01
1.640000000000000213e+01,1.232201758175527573e+00,2.592178987587245853e-01,1.984488844102451632e-01,6.429805893116421478e-01
1.650000000000000000e+01,1.233319526247732556e+00,2.602271333978767309e-01,2.003111568150055255e-01,6.446216880048365461e-01
1.660000000000000142e+01,1.237895826253468945e+00,2.614186703767400477e-01,2.028197816284650623e-01,6.476269398256472298e-01
1.669999999999999929e+01,1.242170096632220444e+00,2.636623082724313671e-01,2.061491642538894331e-01,6.516741508943030281e-01
1.680000000000000071e+01,1.244373433163577625e+00,2.655231754566239610e-01,2.070109418888883557e-01,6.553337271476592507e-01
1.690000000000000213e+01,1.247854347773058148e+00,2.672427881443535380e-01,2.071826862623278587e-01,6.583938363973375063e-01
1.700000000000000000e+01,1.248423118900028328e+00,2.681280884907207840e-01,2.070174966115681803e-01,6.605376539868303976e-01
1.710000000000000142e+01,1.249620092702683927e+00,2.681350877090171725e-01,2.084727759242171741e-01,6.619773622818930781e-01
1.719999999999999929e+01,1.256105572173699780e+00,2.692826898321402096e-01,2.084340970058101705e-01,6.641676602657916595e-01
1.730000000000000071e+01,1.261032893701448110e+00,2.704999888982979606e-01,2.092536737683018955e-01,6.676167766371223777e-01
1.740000000000000213e+01,1.264566403433386776e+00,2.711415617651332099e-01,2.090644944953628792e-01,6.704915441688154010e-01
1.750000000000000000e+01,1.266020576224155869e+00,2.720177275662752914e-01,2.095341801468893761e-01,6.739167349904660043e-01
1.760000000000000142e+01,1.271696225775634792e+00,2.732769642001249277e-01,2.096671260540597936e-01,6.769291418207282751e-01
1.769999999999999929e+01,1.275342020026474232e+00,2.746482289112922026e-01,2.107136830887501311e-01,6.810384775899627208e-01
1.780000000000000071e+01,1.276897419292403857e+00,2.765199179193381651e-01,2.097714283065873486e-01,6.852260136344521246e-01
1.790000000000000213e+01,1.277638348565182991e+00,2.781842855935913739e-01,2.104282821559465000e-01,6.883729367248991871e-01
1.800000000000000000e+01,1.279016068646120940e+00,2.802580938606648586e-01,2.142173963823172378e-01,6.917528516073681022e-01
1.810000000000000142e+01,1.279408567424239029e+00,2.813052108191927414e-01,2.140354640648388374e-01,6.949779924020760280e-01
1.819999999999999929e+01,1.280697353911570469e+00,2.815478466820524051e-01,2.135996141579818430e-01,6.970302132524305305e-01
1.830000000000000071e+01,1.282415755203651031e+00,2.817665643129080855e-01,2.142021934811567385e-01,6.967603848944726730e-01
1.840000000000000213e+01,1.282562460313751318e+00,2.820026455397691700e-01,2.146168917612858995e-01,6.970693368570827220e-01
1.850000000000000000e+01,1.283016165115558715e+00,2.814984181285736242e-01,2.144666068350881694e-01,6.989074991994514985e-01
1.860000000000000142e+01,1.285566566058411242e+00,2.817157631070726365e-01,2.158450064665380086e-01,7.017362932118239582e-01
1.869999999999999929e+01,1.286603201208122771e+00,2.821525149587062464e-01,2.155030039928904351e-01,7.032756189027353777e-01
1.880000000000000071e+01,1.289471735270989239e+00,2.824546680173594670e-01,2.162232275754840949e-01,7.063264390166739126e-01
1.890000000000000213e+01,1.291290571132821308e+00,2.834330062489394675e-01,2.174850358605351364e-01,7.105661032012818845e-01
1.900000000000000000e+01,1.293860752763504429e+00,2.851697781754854999e-01,2.186084375897798249e-01,7.140228094080189880e-01
