lag_ps,Li_A2,Zr_A2,O_A2,Cl_A2
3.800000000000000266e+00,1.275956989608123981e+00,1.815690461515476473e-01,1.699486071144165888e-01,3.971867471365402857e-01
3.900000000000000355e+00,1.287629702945632504e+00,1.811925020710496714e-01,1.698919028746668225e-01,3.968094048529980378e-01
4.000000000000000000e+00,1.297956992466166470e+00,1.806179706499655424e-01,1.704322256231148303e-01,3.968419746522629521e-01
4.100000000000000533e+00,1.308053759998339727e+00,1.811064090066437093e-01,1.718411880276724535e-01,3.973753241532620439e-01
4.200000000000000178e+00,1.318908587570849278e+00,1.808455811596212104e-01,1.727608117198816684e-01,3.974670477783768807e-01
4.299999999999999822e+00,1.331537601167553042e+00,1.812685505073465264e-01,1.726364819090315250e-01,3.991231399307621497e-01
4.400000000000000355e+00,1.343254785866590861e+00,1.824259878037476357e-01,1.737714881436808190e-01,4.027400656001622337e-01
4.500000000000000000e+00,1.356345645757218277e+00,1.829916846512164297e-01,1.741631556713475748e-01,4.047801641923728377e-01
4.600000000000000533e+00,1.368148526015805722e+00,1.830768180546208379e-01,1.740347935256636169e-01,4.050967762733056476e-01
4.700000000000000178e+00,1.379630399106077432e+00,1.829546278505661816e-01,1.733890552653011563e-01,4.045998906942471773e-01
4.800000000000000711e+00,1.389842693369081950e+00,1.834270780501617015e-01,1.746475118541536975e-01,4.046180590995938631e-01
4.900000000000000355e+00,1.403764291618360138e+00,1.844982796702468730e-01,1.746110357424529580e-01,4.066869234727516491e-01
5.000000000000000000e+00,1.416104226961213852e+00,1.859470840059418983e-01,1.758938946252938118e-01,4.094991492152402768e-01
5.100000000000000533e+00,1.429227761432181110e+00,1.870059259690491082e-01,1.759681178627336418e-01,4.111678513652758937e-01
5.200000000000000178e+00,1.442345179005730449e+00,1.872807204992482932e-01,1.758305465608517582e-01,4.121470581345064721e-01
5.300000000000000711e+00,1.453710084871951080e+00,1.878946965791959689e-01,1.762372648305106093e-01,4.134971344521516934e-01
5.400000000000000355e+00,1.468354699779826689e+00,1.881508553499405267e-01,1.767657486653558263e-01,4.144583123333009378e-01
5.500000000000000000e+00,1.477557860569135739e+00,1.868106025973491346e-01,1.757274694182839325e-01,4.132453602797765413e-01
5.600000000000000533e+00,1.487352799054480146e+00,1.853586898641787495e-01,1.752760326618443831e-01,4.120442652993323018e-01
5.700000000000000178e+00,1.496313542048186562e+00,1.848759408620997413e-01,1.743432165301943837e-01,4.117112825080890270e-01
5.800000000000000711e+00,1.506220332611150736e+00,1.852727604241771742e-01,1.731154893775176395e-01,4.134105078148336276e-01
5.900000000000000355e+00,1.517491762451272708e+00,1.866971796334384037e-01,1.761124528466195549e-01,4.160391250848293199e-01
6.000000000000000000e+00,1.527224016321552247e+00,1.883091705806224647e-01,1.786757355958300264e-01,4.185402073443676429e-01
6.100000000000000533e+00,1.536291779943155689e+00,1.889734771450909123e-01,1.767791145869317682e-01,4.206398865628282469e-01
6.200000000000000178e+00,1.550740818161994605e+00,1.897705545537353433e-01,1.770606259733267518e-01,4.218848923805250117e-01
6.300000000000000711e+00,1.558965806627465422e+00,1.902252188606998740e-01,1.787976661117211541e-01,4.233834652248367747e-01
6.400000000000000355e+00,1.567439312023278353e+00,1.903804213442087112e-01,1.776483142491425693e-01,4.239903138501397439e-01
6.500000000000000000e+00,1.576798983433205903e+00,1.911695692192593166e-01,1.785867443703638702e-01,4.258467553212124668e-01
6.600000000000000533e+00,1.585387510816998136e+00,1.921172301882017042e-01,1.809008961184878639e-01,4.280563917276059005e-01
6.700000000000000178e+00,1.592823137664338251e+00,1.923384101856199235e-01,1.810120835188171184e-01,4.298230142902876305e-01
6.800000000000000711e+00,1.596279139324423113e+00,1.924794593924821495e-01,1.800053627509680954e-01,4.295254358200131239e-01
6.900000000000000355e+00,1.603019930366372359e+00,1.921037125719438909e-01,1.816868506562299423e-01,4.301090923474819028e-01
7.000000000000000000e+00,1.608620956740419938e+00,1.920983940490103015e-01,1.829907333337208175e-01,4.310193419495187972e-01
7.100000000000000533e+00,1.618767327740740614e+00,1.918113559941704294e-01,1.806110758526128235e-01,4.323422199540484789e-01
7.200000000000000178e+00,1.625272005919640383e+00,1.916044654810976355e-01,1.798267064137521742e-01,4.330078362360834654e-01
7.300000000000000711e+00,1.634155372849285914e+00,1.918459491550695006e-01,1.814189117868505730e-01,4.340922693073530070e-01
7.400000000000000355e+00,1.640230277233599931e+00,1.911884188016111930e-01,1.803912417704439108e-01,4.339759778048004057e-01
