r,gr_crystal (Li-S),gr_glass (Li-S),gr_glass-ceramic (Li-S),nr_crystal (Li-S),nr_glass (Li-S),nr_glass-ceramic (Li-S)
4.465625,1.638586,1.081639,1.245723,8.732444,8.192272,8.229243
4.471875,1.621003,1.044775,1.236561,8.795341,8.23128,8.275407
4.478125,1.677918,1.059094,1.210447,8.859177,8.269984,8.321042
4.484375,1.689582,1.059724,1.180942,8.924521,8.309071,8.365764
4.490625,1.543684,1.078197,1.212874,8.987431,8.348621,8.410658
4.496875,1.601675,1.083035,1.191946,9.048806,8.388714,8.455883
4.503125,1.597232,1.07719,1.240472,9.111399,8.428899,8.501756
4.509375,1.607619,1.067125,1.286628,9.174283,8.468899,8.549547
4.515625,1.635396,1.065586,1.291428,9.238092,8.508793,8.598436
4.521875,1.623514,1.056304,1.176718,9.302391,8.548595,8.645367
4.528125,1.601677,1.070947,1.326564,9.366201,8.588608,8.693105
4.534375,1.629223,1.084104,1.235867,9.430301,8.629256,8.7421
4.540625,1.645988,1.079026,1.297914,9.49546,8.670169,8.790685
4.546875,1.617629,1.07049,1.325264,9.560566,8.710936,8.841121
4.553125,1.623096,1.074499,1.27778,9.625394,8.75173,8.891306
4.559375,1.560699,1.114501,1.273596,9.689256,8.793476,8.940632
4.565625,1.608966,1.131484,1.271474,9.753013,8.836426,8.98997
4.571875,1.618324,1.124259,1.345466,9.818105,8.879679,9.040843
4.578125,1.59562,1.118443,1.286226,9.883105,8.922801,9.09214
4.584375,1.593878,1.138005,1.309078,9.947788,8.966306,9.142867
4.590625,1.562908,1.093912,1.359435,10.011981,9.009455,9.195169
4.596875,1.605304,1.113426,1.332216,10.076584,9.052246,9.248066
4.603125,1.560246,1.162731,1.299776,10.141306,9.096492,9.299931
4.609375,1.471612,1.107396,1.331016,10.203462,9.140738,9.351915
4.615625,1.5653,1.144276,1.388751,10.265896,9.184746,9.405804
4.621875,1.54633,1.118265,1.329146,10.330036,9.229084,9.459798
4.628125,1.519149,1.121969,1.293729,10.393396,9.273105,9.512047
4.634375,1.543737,1.148444,1.369601,10.456875,9.317841,9.565248
4.640625,1.507162,1.090526,1.349426,10.520274,9.362074,9.619706
4.646875,1.489798,1.142274,1.319487,10.582721,9.406306,9.673304
4.653125,1.553449,1.111276,1.367769,10.646306,9.451068,9.727417
4.659375,1.530368,1.134827,1.337278,10.710909,9.495804,9.782034
4.665625,1.501116,1.162216,1.36828,10.774587,9.541677,9.836809
4.671875,1.47515,1.165046,1.352908,10.837272,9.588277,9.892047
4.678125,1.434931,1.094167,1.343454,10.898727,9.633634,9.946928
4.684375,1.520939,1.151619,1.418193,10.961319,9.678846,10.00329
4.690625,1.484535,1.159023,1.374392,11.025129,9.725486,10.060433
4.696875,1.460109,1.202282,1.375887,11.087814,9.773277,10.116862
4.703125,1.448804,1.172399,1.333063,11.149904,9.821465,10.172589
4.709375,1.419037,1.140073,1.350661,11.21128,9.868515,10.227946
4.715625,1.458371,1.160364,1.325366,11.273026,9.915447,10.28329
4.721875,1.404166,1.165044,1.32823,11.334613,9.963013,10.338317
4.728125,1.432299,1.129761,1.338699,11.395803,10.010076,10.393767
4.734375,1.399204,1.135774,1.331365,11.457047,10.056663,10.449428
4.740625,1.33765,1.157769,1.368305,11.516399,10.103952,10.505856
4.746875,1.269125,1.180283,1.355249,11.573078,10.152285,10.562933
4.753125,1.27912,1.162522,1.337856,11.628634,10.200843,10.61952
4.759375,1.298123,1.127687,1.293587,11.68497,10.248436,10.674957
4.765625,1.237458,1.118391,1.301453,11.740539,10.295235,10.729772
4.771875,1.242034,1.12811,1.284324,11.795023,10.342166,10.784534
4.778125,1.224996,1.147235,1.297141,11.849375,10.389825,10.839348
4.784375,1.211033,1.166257,1.28879,11.903184,10.438409,10.894401
4.790625,1.178648,1.145021,1.300283,11.956108,10.487073,10.949666
4.796875,1.140477,1.128272,1.261095,12.007602,10.535063,11.004481
4.803125,1.142258,1.17839,1.310147,12.058422,10.583886,11.059653
4.809375,1.139291,1.145448,1.2699,12.109348,10.633198,11.115155
4.815625,1.064319,1.120745,1.291105,12.15866,10.681412,11.170393
4.821875,1.054496,1.143233,1.224227,12.2062,10.729706,11.224785
4.828125,1.054704,1.143363,1.238121,12.253647,10.778608,11.278171
4.834375,1.013906,1.126239,1.274424,12.300301,10.827272,11.332788
4.840625,0.95871,1.100595,1.262043,12.344904,10.875142,11.388065
4.846875,0.96731,1.146793,1.249116,12.388568,10.923581,11.442933
4.853125,0.949128,1.146287,1.228413,12.432126,10.973132,11.497206
4.859375,0.935673,1.118339,1.195781,12.475076,11.022192,11.550446
