# Time-averaged data for fix msd_out
# TimeStep c_msd_li[1] c_msd_li[2] c_msd_li[3] c_msd_li[4]
427000 12.9483 24.327 108.714 145.989
428000 12.8052 25.3331 110.335 148.473
429000 12.0772 24.3753 109.335 145.787
430000 12.5878 24.2803 113.762 150.63
431000 12.5008 25.2578 112.492 150.251
432000 12.6491 25.0161 114.132 151.797
433000 12.4758 25.1443 113.346 150.966
434000 12.6903 24.8016 114.087 151.579
435000 12.6378 24.8713 113.148 150.657
436000 12.7944 24.6766 114.06 151.531
437000 12.8864 24.5307 112.629 150.046
438000 12.7367 23.9225 115.85 152.509
439000 13.5139 24.7131 114.156 152.383
440000 13.232 25.1613 115.762 154.155
441000 13.1471 24.6227 112.176 149.946
442000 13.4729 24.9781 111.481 149.932
443000 13.252 25.0614 115.27 153.584
444000 13.4731 24.7604 113.472 151.705
445000 13.6392 25.6288 114.32 153.588
446000 12.7317 24.0018 113.474 150.208
447000 12.9995 24.4488 114.596 152.044
448000 12.953 24.5083 116.6 154.061
449000 13.0568 24.7505 118.703 156.51
450000 12.5688 24.9563 117.568 155.094
451000 12.7475 24.964 117.979 155.691
452000 13.0908 25.4865 116.206 154.784
453000 12.2088 25.4204 117.26 154.889
454000 12.692 25.6394 118.816 157.148
455000 12.3621 24.806 117.572 154.741
456000 13.1498 25.3883 118.261 156.799
457000 12.7163 25.0377 118.738 156.492
458000 12.9866 24.9454 117.397 155.329
459000 13.0047 25.6815 118.738 157.424
460000 12.8726 25.5217 118.837 157.231
461000 13.4796 25.7553 119.751 158.985
462000 12.8503 26.4712 118.369 157.691
463000 12.445 26.1245 119.161 157.731
464000 12.8594 26.1296 123.885 162.874
465000 12.6968 25.349 122.276 160.322
466000 12.1692 26.5486 123.515 162.233
467000 13.4693 25.6066 124.223 163.299
468000 12.4252 25.5405 126.125 164.091
469000 12.6146 26.3287 128.961 167.904
470000 12.6696 25.8479 123.973 162.491
471000 12.4679 25.6921 120.978 159.138
472000 12.7587 25.1604 121.217 159.136
473000 12.315 25.5589 120.591 158.465
474000 12.6662 25.4045 120.055 158.125
475000 12.826 26.5784 123.011 162.416
476000 12.8796 25.8699 119.885 158.635
477000 12.6284 26.3188 122.14 161.087
478000 12.6398 26.0906 122.693 161.423
479000 12.5742 26.3266 122.415 161.315
480000 12.8552 26.063 119.159 158.077
481000 13.0779 26.5695 121.695 161.342
482000 12.4214 26.1211 118.928 157.47
483000 12.6209 26.0063 118.729 157.356
484000 12.4847 25.9468 118.122 156.553
485000 12.3366 25.892 117.937 156.166
486000 12.9215 25.9486 120.405 159.276
487000 13.0997 25.3089 121.541 159.949
488000 13.1753 25.7424 119.549 158.466
489000 13.8604 26.6163 120.018 160.494
490000 13.4308 25.6648 119.835 158.931
491000 13.7549 25.8344 120.922 160.511
492000 14.1311 26.0596 120.773 160.964
493000 14.2379 25.8593 124.12 164.217
494000 14.2271 26.0466 123.583 163.857
495000 14.1582 26.6627 126.207 167.027
496000 14.2034 26.7516 129.532 170.487
497000 14.3162 26.5929 128.915 169.824
498000 14.308 26.8561 130.394 171.559
499000 14.3033 26.3136 129.32 169.937
500000 14.1376 26.6332 129.511 170.282
