lag_ps,Li,Zr,Cl,S,O
1.619999999999999929e+01,9.949045202941422250e-01,4.795863533893364172e-01,1.018890849592764436e+00,3.441836971070468820e-01,5.151641438663672190e-01
1.630000000000000071e+01,9.950064569285780314e-01,4.802358248562454968e-01,1.021194730954493313e+00,3.443848524626238472e-01,5.153872970600191783e-01
1.640000000000000213e+01,9.957004506703859281e-01,4.807897713132550654e-01,1.023530803572709091e+00,3.446746141829946652e-01,5.159838093704458561e-01
1.650000000000000000e+01,9.975682431468212430e-01,4.816550766696753305e-01,1.026162833957067200e+00,3.450919986353546132e-01,5.168284033884982254e-01
1.660000000000000142e+01,9.992481555148214900e-01,4.829535425665554826e-01,1.028643359645523114e+00,3.457493588157323772e-01,5.185505584518500521e-01
1.669999999999999929e+01,1.000566425152791483e+00,4.842293100211028101e-01,1.030898802555652694e+00,3.466809429403583942e-01,5.203592091164865874e-01
1.680000000000000071e+01,1.002725788493841641e+00,4.859172043792266416e-01,1.033311738781380384e+00,3.477918910016505882e-01,5.222045144630756974e-01
1.690000000000000213e+01,1.004297704510052736e+00,4.881089462512231414e-01,1.036221893675206562e+00,3.486113753359371681e-01,5.231580844105466754e-01
1.700000000000000000e+01,1.007746947098185464e+00,4.905429737880865892e-01,1.039508022891910688e+00,3.491349595592930788e-01,5.246687934583781354e-01
1.710000000000000142e+01,1.010810378400585741e+00,4.925255641375450577e-01,1.042514538631229559e+00,3.498476437211112677e-01,5.260232326214325793e-01
1.719999999999999929e+01,1.013623670473122296e+00,4.945372157485842246e-01,1.045404716874478668e+00,3.508829062335600546e-01,5.278412631101595531e-01
1.730000000000000071e+01,1.015406284541237714e+00,4.964366895772295840e-01,1.048877034939271979e+00,3.520627860001045439e-01,5.294984700490853458e-01
1.740000000000000213e+01,1.018714718961111432e+00,4.978552412792895954e-01,1.051893807961472138e+00,3.529608517977744220e-01,5.307906936384835239e-01
1.750000000000000000e+01,1.022196048977113580e+00,4.989210128113162890e-01,1.054394467481527320e+00,3.532572799286982090e-01,5.312015085752710419e-01
1.760000000000000142e+01,1.023191120886976391e+00,4.997745595569744737e-01,1.055305208076316781e+00,3.532546812359958488e-01,5.313267281090806593e-01
1.769999999999999929e+01,1.023085360690901613e+00,4.998131890479669548e-01,1.054885101952495852e+00,3.533341010196489607e-01,5.316624414272216326e-01
1.780000000000000071e+01,1.023453628829703588e+00,4.995745523905597008e-01,1.055221028544950146e+00,3.532758562330752250e-01,5.315135257212394437e-01
1.790000000000000213e+01,1.024784030798062462e+00,4.991512390529392884e-01,1.055525205444984627e+00,3.533696207916393606e-01,5.321815418455401181e-01
1.800000000000000000e+01,1.026096571854727246e+00,4.985131548092976983e-01,1.055149234068136543e+00,3.531001083802668972e-01,5.321429961445102164e-01
1.810000000000000142e+01,1.026556988215743926e+00,4.978822660577187920e-01,1.053744812726892466e+00,3.532079971755555658e-01,5.323519276906192310e-01
1.819999999999999929e+01,1.026386088506683336e+00,4.970993767329254243e-01,1.052248053082986967e+00,3.529075599091313631e-01,5.325094165200319196e-01
1.830000000000000071e+01,1.028696544408186808e+00,4.963939994847029746e-01,1.051390131258411076e+00,3.529350711602300961e-01,5.328408296840972946e-01
1.840000000000000213e+01,1.027109524472400892e+00,4.959102001051265418e-01,1.050903064324477221e+00,3.534588269135046090e-01,5.335053213105598324e-01
1.850000000000000000e+01,1.028168776485236524e+00,4.957338826272877919e-01,1.050426634554026073e+00,3.543639918784873277e-01,5.345881722492816790e-01
1.860000000000000142e+01,1.029493358037899764e+00,4.957593095495057556e-01,1.050076379454576880e+00,3.552945126428810330e-01,5.358439286217694386e-01
1.869999999999999929e+01,1.031478068253411040e+00,4.956107553469462634e-01,1.049394369080219880e+00,3.558466417444953178e-01,5.370081341010154441e-01
1.880000000000000071e+01,1.031651032912439980e+00,4.953305394775405213e-01,1.048434163002149422e+00,3.559426194377788844e-01,5.375684498311222859e-01
1.890000000000000213e+01,1.032402812538808279e+00,4.947902830617423309e-01,1.047898748288250470e+00,3.562386251238502388e-01,5.380144122731734813e-01
1.900000000000000000e+01,1.032897532155648168e+00,4.944434757232428201e-01,1.047764082266312347e+00,3.561949404900867089e-01,5.387629806684121059e-01
1.910000000000000142e+01,1.034611995894491043e+00,4.939204720248647207e-01,1.047412767312335680e+00,3.559049357939721436e-01,5.387105852842256626e-01
