lag_ps,Li_A2,Zr_A2,Cl_A2,O_A2
2.756999999999999886e+02,1.649033099026139704e+00,2.914267464961168841e-01,7.856840178005232156e-01,2.036471429971012936e-01
2.758000000000000114e+02,1.646715273777403343e+00,2.901821981295657493e-01,7.852712266508221628e-01,2.019799469316106988e-01
2.759000000000000341e+02,1.642212369542301875e+00,2.883273404237947646e-01,7.824838443488179029e-01,2.034157307848765417e-01
2.760000000000000000e+02,1.644527798118168072e+00,2.883193270804008113e-01,7.819130236299391967e-01,2.056318786901882301e-01
2.761000000000000227e+02,1.650553452970313195e+00,2.894360056581465890e-01,7.807299014353911160e-01,2.072317757398074445e-01
2.761999999999999886e+02,1.651651052108177975e+00,2.888766974927560738e-01,7.775768310320585464e-01,2.046027993479239693e-01
2.763000000000000114e+02,1.646121521790400832e+00,2.882115533921195127e-01,7.762271683503139119e-01,2.049383862860512384e-01
2.764000000000000341e+02,1.646859769525976791e+00,2.882241050752978873e-01,7.757426243231849705e-01,2.050919488991398421e-01
2.765000000000000000e+02,1.645006229733995351e+00,2.872339606251202992e-01,7.746407612575362256e-01,2.038820649319508238e-01
2.766000000000000227e+02,1.641989395701384247e+00,2.857495942079997797e-01,7.735736279841693985e-01,2.010460652903511281e-01
2.766999999999999886e+02,1.643427718809298055e+00,2.847092883082170678e-01,7.725126898031855482e-01,2.027526213461451343e-01
2.768000000000000114e+02,1.645058591719160690e+00,2.845503690675391661e-01,7.727919718253994930e-01,1.996816997546862205e-01
2.769000000000000341e+02,1.647024496139485317e+00,2.843884517402686662e-01,7.742291615401042382e-01,2.008149001316185955e-01
2.770000000000000000e+02,1.642974663003874847e+00,2.852470125601523354e-01,7.757557835348118935e-01,2.013040911343368100e-01
2.771000000000000227e+02,1.644989056335570243e+00,2.864812029279268368e-01,7.762337348047197993e-01,2.006743685825600754e-01
2.771999999999999886e+02,1.643203584922207083e+00,2.871605659411259892e-01,7.757497301478584184e-01,2.003999890411497231e-01
2.773000000000000114e+02,1.640672493403657617e+00,2.878518522923899092e-01,7.758215577513040140e-01,2.026418541673532525e-01
2.774000000000000341e+02,1.644151697751070174e+00,2.891563891541717446e-01,7.759421793788372490e-01,2.073479162306486878e-01
2.775000000000000000e+02,1.645516028873825753e+00,2.902077148088316738e-01,7.780373525460276829e-01,2.083139458141869127e-01
2.776000000000000227e+02,1.643406356293510173e+00,2.907196598377988495e-01,7.802700410418630383e-01,2.062527435949075560e-01
2.776999999999999886e+02,1.649221678521655132e+00,2.899051658347158167e-01,7.818548171124221069e-01,2.067092223488750102e-01
2.778000000000000114e+02,1.650707402108113397e+00,2.862339704942876151e-01,7.794975037059284073e-01,2.010582002551574154e-01
2.779000000000000341e+02,1.649552156339556985e+00,2.847315725363506744e-01,7.783006424825540392e-01,2.019637882691427133e-01
2.780000000000000000e+02,1.652457136715361319e+00,2.842092175799726950e-01,7.781258818441566527e-01,1.999590609358122550e-01
2.781000000000000227e+02,1.662794915826631081e+00,2.841966673096211760e-01,7.811800202416860905e-01,2.021285445136301040e-01
2.781999999999999886e+02,1.660267095360353107e+00,2.848284626030599953e-01,7.841116186632972607e-01,2.011947560456761319e-01
2.783000000000000114e+02,1.658024029025907842e+00,2.865297862226837133e-01,7.845599537735786777e-01,2.010817398008956924e-01
2.784000000000000341e+02,1.656623279373286017e+00,2.897417683966934665e-01,7.860889881686167202e-01,2.017903466706354731e-01
