time_ps,T_K,P_GPa,PE_eV_atom,rho_g_cm3,volume_A3
1.322500000000000000e+02,3.131347656099999881e+02,9.615427161266666689e-02,-5.475934338235294518e+00,1.883294036727361176e+00,8.125710930608088347e+03
1.323000000000000114e+02,3.311356427299999723e+02,9.228499358333327671e-03,-5.478326329411764561e+00,1.874167809325358869e+00,8.165278938012056642e+03
1.323499999999999943e+02,3.307133758900000089e+02,-2.094902087970000049e-01,-5.478740476838234841e+00,1.861861284217293466e+00,8.219249774140831505e+03
1.324000000000000057e+02,3.157687937900000179e+02,-2.066088445760000114e-01,-5.477328367279411303e+00,1.859586580570749215e+00,8.229303813908831216e+03
1.324500000000000171e+02,3.230311734599999909e+02,1.255644124450000232e-01,-5.478482809558823163e+00,1.869525391766885924e+00,8.185555011543120600e+03
1.325000000000000000e+02,3.064578438799999844e+02,-2.857973387339999838e-01,-5.475946527205882930e+00,1.874171576225531544e+00,8.165262526606061328e+03
1.325500000000000114e+02,3.309925313300000198e+02,3.124939247743333329e-02,-5.478175919117647119e+00,1.885966543905642778e+00,8.114196399313317670e+03
1.325999999999999943e+02,3.374651005700000042e+02,4.006366672666667600e-02,-5.477767508088235537e+00,1.895661425102050934e+00,8.072698392837065512e+03
1.326500000000000057e+02,3.378459256599999776e+02,8.631670299966666404e-02,-5.477834694485293809e+00,1.901463154787551790e+00,8.048067037877653092e+03
1.327000000000000171e+02,3.561331976800000234e+02,5.844535042999985395e-04,-5.481071453308823394e+00,1.896235542458131640e+00,8.070254246973348927e+03
1.327500000000000000e+02,3.191801660699999843e+02,3.254281725866666197e-01,-5.477994636029412057e+00,1.884098000922941329e+00,8.122243605315749846e+03
1.328000000000000114e+02,3.146012593400000128e+02,-4.011143714333334671e-03,-5.478900546691176210e+00,1.856368414258660948e+00,8.243569984407340598e+03
1.328499999999999943e+02,3.131237743799999862e+02,-2.831910185533333402e-01,-5.478717666911764539e+00,1.829715908704337313e+00,8.363649715775285586e+03
1.329000000000000057e+02,3.069664162099999771e+02,-4.079260913999998434e-03,-5.477584726838235163e+00,1.823432848654503724e+00,8.392468607262715523e+03
1.329500000000000171e+02,3.162273347700000272e+02,-1.638191067283333302e-01,-5.476674350367646937e+00,1.823791159986055455e+00,8.390819779991452378e+03
1.330000000000000000e+02,3.394138951400000224e+02,-5.363473241666666391e-03,-5.476675265441176776e+00,1.837731091235050851e+00,8.327172029015446242e+03
1.330500000000000114e+02,3.352376511900000082e+02,-5.025193444900000195e-02,-5.474919713235293806e+00,1.847459666704202030e+00,8.283321804304774560e+03
