lag_ps,Li_A2,Zr_A2,Cl_A2,O_A2
8.599999999999999645e+00,1.243806028590332735e+00,2.022541995481740296e-01,4.448543773159434056e-01,1.612200376150566827e-01
8.700000000000001066e+00,1.251292930254304547e+00,2.035330201767368841e-01,4.461854389779484897e-01,1.627589798327130077e-01
8.800000000000000711e+00,1.258232604475381100e+00,2.052792050200345497e-01,4.484588146053160584e-01,1.650503356221773854e-01
8.900000000000000355e+00,1.264873898303676247e+00,2.068483415782282619e-01,4.512583335951558805e-01,1.653499861521416092e-01
9.000000000000000000e+00,1.273844805293006255e+00,2.073090319544760030e-01,4.520334369728815638e-01,1.657757841433393498e-01
9.099999999999999645e+00,1.286549098316128070e+00,2.072495319595672736e-01,4.521550205947706957e-01,1.653608747694819137e-01
9.200000000000001066e+00,1.292484641807991164e+00,2.066113584771573086e-01,4.517200443034137258e-01,1.641882735293530571e-01
9.300000000000000711e+00,1.296683366517944025e+00,2.049219589222108229e-01,4.499275343902763846e-01,1.647800652246957653e-01
9.400000000000000355e+00,1.303349471414916305e+00,2.039295318044091754e-01,4.485102822242255094e-01,1.617682857062077428e-01
9.500000000000000000e+00,1.311959810593597897e+00,2.033298966586296885e-01,4.489740252239523000e-01,1.617804598836936614e-01
9.600000000000001421e+00,1.321156030053350472e+00,2.022226760433762927e-01,4.480335601469830897e-01,1.614625124002029843e-01
9.700000000000001066e+00,1.327890351271721503e+00,2.011195465752028122e-01,4.467670633212451059e-01,1.600843514971918569e-01
9.800000000000000711e+00,1.334796156520150490e+00,2.014481065534053372e-01,4.467542795692978075e-01,1.596598085530939737e-01
9.900000000000000355e+00,1.341363076066769411e+00,2.031865070371910997e-01,4.486142684166081196e-01,1.616585003382315922e-01
1.000000000000000000e+01,1.349784196038402051e+00,2.054774493191241780e-01,4.511208578532359126e-01,1.632597469487949982e-01
1.010000000000000142e+01,1.358132119575718555e+00,2.081884357680321151e-01,4.551072841320963347e-01,1.667930532958996070e-01
1.020000000000000107e+01,1.368797168043723644e+00,2.106896099178688642e-01,4.581653961751421256e-01,1.681166493182864596e-01
1.030000000000000071e+01,1.375586665405559739e+00,2.115740936524915516e-01,4.590100335210949845e-01,1.670761730980234727e-01
1.040000000000000036e+01,1.381153355513420111e+00,2.123599494057266390e-01,4.599853831120782055e-01,1.675952240065156362e-01
1.050000000000000000e+01,1.390831551639753139e+00,2.127964590218801022e-01,4.616136380581343235e-01,1.668816756420196112e-01
1.060000000000000142e+01,1.397696294932535332e+00,2.122437179822004027e-01,4.616313683212702745e-01,1.663449873997245865e-01
1.070000000000000107e+01,1.403218036860869766e+00,2.117292533671358279e-01,4.610241026377012719e-01,1.655796343129490866e-01
1.080000000000000071e+01,1.408521429554556947e+00,2.113684748005606184e-01,4.605335411449095195e-01,1.643050744709293187e-01
1.090000000000000036e+01,1.413863395028613024e+00,2.113858637812021102e-01,4.604071507609729386e-01,1.670226820578880611e-01
1.100000000000000000e+01,1.421519318407181043e+00,2.110589909234550643e-01,4.613451553538906458e-01,1.678783129979091182e-01
1.110000000000000142e+01,1.425829693657852060e+00,2.106368337282117642e-01,4.612452657625238372e-01,1.671368291709057763e-01
1.120000000000000107e+01,1.432828407151131689e+00,2.107409555253645372e-01,4.619486392234716798e-01,1.671975478486216471e-01
1.130000000000000071e+01,1.438840322100455316e+00,2.105969004230580921e-01,4.635203325768673666e-01,1.681968830688871375e-01
1.140000000000000036e+01,1.447043750763354009e+00,2.108722255688590674e-01,4.647241071476523322e-01,1.676189695050929740e-01
1.150000000000000000e+01,1.449375469738807043e+00,2.109335655545766242e-01,4.649174463060683493e-01,1.659634886457748704e-01
1.160000000000000142e+01,1.453869346978589494e+00,2.113558129771777871e-01,4.668147088124925403e-01,1.661339023271027060e-01
1.170000000000000107e+01,1.459433202106314109e+00,2.120508544034142850e-01,4.687815492093849734e-01,1.679285018637770577e-01
1.180000000000000071e+01,1.465178252153577665e+00,2.130192499690525820e-01,4.701084986540839949e-01,1.679718817757976379e-01
1.190000000000000036e+01,1.474235230365087412e+00,2.143826104142519395e-01,4.720233669523314912e-01,1.681177290795876078e-01
1.200000000000000000e+01,1.482343590596198579e+00,2.148268808059242974e-01,4.732536844652223684e-01,1.664930151865912922e-01
1.210000000000000142e+01,1.488178315377490790e+00,2.144350465973889341e-01,4.725582973828503230e-01,1.675449702098219251e-01
1.220000000000000107e+01,1.496989066637907095e+00,2.145504498208731514e-01,4.719229082296135802e-01,1.684222660654127179e-01
1.230000000000000071e+01,1.504099010520396851e+00,2.153864252429352755e-01,4.727481439329975221e-01,1.694612761124830447e-01
1.240000000000000036e+01,1.510095438276942259e+00,2.158815821504397325e-01,4.733107435921463657e-01,1.695646529693172755e-01
1.250000000000000000e+01,1.518653790544448157e+00,2.160264020398107998e-01,4.740991419386459405e-01,1.691461182420001264e-01
1.260000000000000142e+01,1.528086368170352483e+00,2.163432360247149744e-01,4.745779789376936009e-01,1.704867690566249927e-01
1.270000000000000107e+01,1.538822330015472195e+00,2.161106299533636921e-01,4.749535503493547139e-01,1.698313840943923014e-01
1.280000000000000071e+01,1.546388971608589902e+00,2.156797148660819230e-01,4.750616214448301622e-01,1.697724172343770266e-01
1.290000000000000036e+01,1.550177411512530856e+00,2.152431995851453728e-01,4.753322478134353046e-01,1.697123527946036992e-01
1.300000000000000000e+01,1.553318004830874122e+00,2.150547913068422412e-01,4.753851057652068168e-01,1.700205200762986146e-01
