elapsed_ps,pair76_108_A,minimum_all_NN_A
1.360000000000000098e+00,1.337377090881923580e+00,1.337377090881923580e+00
1.370000000000000107e+00,1.263063195607947442e+00,1.263063195607947442e+00
1.379999999999999893e+00,1.318561275337322591e+00,1.318561275337322591e+00
1.389999999999999902e+00,1.311194452848377434e+00,1.311194452848377434e+00
1.399999999999999911e+00,1.378454431770024025e+00,1.378454431770024025e+00
1.409999999999999920e+00,1.301774772596982599e+00,1.301774772596982599e+00
1.419999999999999929e+00,1.320519185998667799e+00,1.320519185998667799e+00
1.429999999999999938e+00,1.244517949989261130e+00,1.244517949989261130e+00
1.439999999999999947e+00,1.333982116662023376e+00,1.333982116662023376e+00
1.449999999999999956e+00,1.302095939561046078e+00,1.302095939561046078e+00
1.459999999999999964e+00,1.388829895736185538e+00,1.388829895736185538e+00
1.469999999999999973e+00,1.254023153199488982e+00,1.254023153199488982e+00
1.479999999999999982e+00,1.330070396967811597e+00,1.330070396967811597e+00
1.489999999999999991e+00,1.281180274306927602e+00,1.281180274306927602e+00
1.500000000000000000e+00,1.388878202891995262e+00,1.388878202891995262e+00
1.510000000000000009e+00,1.281595879815696781e+00,1.281595879815696781e+00
1.520000000000000018e+00,1.331046817382755876e+00,1.331046817382755876e+00
1.530000000000000027e+00,1.258292379109797299e+00,1.258292379109797299e+00
1.540000000000000036e+00,1.329517246858490376e+00,1.329517246858490376e+00
1.550000000000000044e+00,1.245566792617613050e+00,1.245566792617613050e+00
1.560000000000000053e+00,1.326978837520419452e+00,1.326978837520419452e+00
1.570000000000000062e+00,1.298415371561494336e+00,1.298415371561494336e+00
1.580000000000000071e+00,1.319865481196482726e+00,1.319865481196482726e+00
1.590000000000000080e+00,1.305592889859020556e+00,1.305592889859020556e+00
1.600000000000000089e+00,1.342926606898253050e+00,1.342926606898253050e+00
1.610000000000000098e+00,1.300537976362602821e+00,1.300537976362602821e+00
1.620000000000000107e+00,1.286426748166691114e+00,1.286426748166691114e+00
1.629999999999999893e+00,1.336634055351382466e+00,1.336634055351382466e+00
1.639999999999999902e+00,1.299137368747463439e+00,1.299137368747463439e+00
1.649999999999999911e+00,1.304918051645528099e+00,1.304918051645528099e+00
1.659999999999999920e+00,1.289686917847312930e+00,1.289686917847312930e+00
