stage_time_ps,Li_A2,Zr_A2,O_A2,Cl_A2
1.210000000000000142e+01,1.307025912694379599e+02,1.457316798146885439e+01,1.068597763741435358e+01,3.272776573849076698e+01
1.215000000000000213e+01,1.327742809521024867e+02,1.444029396483545291e+01,1.096944261664096842e+01,3.287068408699519750e+01
1.219999999999999929e+01,1.322866185260240570e+02,1.460476019913586576e+01,1.028560090697673068e+01,3.255820716209585441e+01
1.225000000000000000e+01,1.303282108879549810e+02,1.471701038668415862e+01,1.080662979416751490e+01,3.252735886560309808e+01
1.230000000000000071e+01,1.303264871603165602e+02,1.478643070348809552e+01,1.111559952439387366e+01,3.248114499650929332e+01
1.235000000000000142e+01,1.300805501001892424e+02,1.473203389209709080e+01,1.156406130387332887e+01,3.254695472542291412e+01
1.240000000000000213e+01,1.311138125069345506e+02,1.482565030423418584e+01,1.190499343573449664e+01,3.261385450400624109e+01
1.244999999999999929e+01,1.312825300696430020e+02,1.489598531738751319e+01,1.130987227748081203e+01,3.281697569920930135e+01
1.250000000000000000e+01,1.313861924913478560e+02,1.510318883718826122e+01,1.156106122326717234e+01,3.301015982945477134e+01
1.255000000000000071e+01,1.290200161282238014e+02,1.517825564545885264e+01,1.157109554080170000e+01,3.303559176330148262e+01
1.260000000000000142e+01,1.275345567847493129e+02,1.515008811215043316e+01,1.136501988023366039e+01,3.310787018504970547e+01
1.265000000000000213e+01,1.254526035969854263e+02,1.474213711949162864e+01,1.079249152057215078e+01,3.350364474800628045e+01
1.269999999999999929e+01,1.255844201620582936e+02,1.453190401540867605e+01,1.166825622413266217e+01,3.380552842550837056e+01
1.275000000000000000e+01,1.276039444469382289e+02,1.468552750143685870e+01,1.216177262059733266e+01,3.392986695167362399e+01
1.280000000000000071e+01,1.294131687553319807e+02,1.482444004011407479e+01,1.277370828534882463e+01,3.415794643204100112e+01
1.285000000000000142e+01,1.297474205589975043e+02,1.497605890101169734e+01,1.381137427693531272e+01,3.393151646461842574e+01
1.290000000000000213e+01,1.295539632262334351e+02,1.490661862279787186e+01,1.386701943534442449e+01,3.418221276256458907e+01
1.294999999999999929e+01,1.318128707180106289e+02,1.495727622354861985e+01,1.387873083356499393e+01,3.417904378505848229e+01
1.300000000000000000e+01,1.347195758954177336e+02,1.489917443525353313e+01,1.304692417659811632e+01,3.425260070842421811e+01
1.305000000000000071e+01,1.361847146359916962e+02,1.469958578578166986e+01,1.306770192629176286e+01,3.428112663383600278e+01
1.310000000000000142e+01,1.364181082349220162e+02,1.477468477596590191e+01,1.321930852523323985e+01,3.400618473423235599e+01
1.315000000000000213e+01,1.365976155099158404e+02,1.461670796200284173e+01,1.286310544295815994e+01,3.373614861874663973e+01
1.319999999999999929e+01,1.373055975220329685e+02,1.436355681754770863e+01,1.296500932626169522e+01,3.359266056859188865e+01
1.325000000000000000e+01,1.355241314579098173e+02,1.396054379439852511e+01,1.295031828559440790e+01,3.343093152040205496e+01
1.330000000000000071e+01,1.357886783208530801e+02,1.412082987874005369e+01,1.329782283532482801e+01,3.349916759567570068e+01
1.335000000000000142e+01,1.345992713896353621e+02,1.426188936889439596e+01,1.330980863736726327e+01,3.333697985510904260e+01
1.340000000000000213e+01,1.355752466169018646e+02,1.415275060336902158e+01,1.389637867739309307e+01,3.304433628419599955e+01
1.344999999999999929e+01,1.364397879019919344e+02,1.392312310123253205e+01,1.355206627704510858e+01,3.355870517484599702e+01
1.350000000000000000e+01,1.375823225191848564e+02,1.399048281458244958e+01,1.338972773303677677e+01,3.413053985164648907e+01
1.355000000000000071e+01,1.365804347775748795e+02,1.401897697468935178e+01,1.342312899573081530e+01,3.446472458243669479e+01
1.360000000000000142e+01,1.377534007115845327e+02,1.418318375049744162e+01,1.306696435421802427e+01,3.460993918221078758e+01
