lag_ps,Li_A2,P_A2,O_A2,N_A2
1.580000000000000071e+01,2.354280194499135170e+00,1.452345946177776570e-01,4.950780597128927041e-01,5.174751282864388235e-01
1.590000000000000036e+01,2.365251188471660271e+00,1.459468585868189672e-01,4.967767942956005656e-01,5.179106772610938547e-01
1.600000000000000000e+01,2.375942269599006007e+00,1.463379001348359132e-01,4.981022685485527179e-01,5.192694705852453074e-01
1.610000000000000142e+01,2.386977532607867492e+00,1.459264703538256380e-01,4.984297302819138409e-01,5.199407288882610390e-01
1.619999999999999929e+01,2.397818978252731270e+00,1.466600557857477838e-01,5.002195307722084872e-01,5.225311965640120349e-01
1.630000000000000071e+01,2.409375987031859623e+00,1.463681261144270662e-01,5.011543823879426318e-01,5.225223665570063458e-01
1.640000000000000213e+01,2.420145922592541687e+00,1.469610126726662025e-01,5.025577416936856112e-01,5.251087645973537832e-01
1.650000000000000000e+01,2.429462042337702687e+00,1.469930140565076371e-01,5.033214209003847861e-01,5.262886420451153846e-01
1.660000000000000142e+01,2.441582737133396908e+00,1.474833901078427545e-01,5.042826650665354071e-01,5.279078267437834482e-01
1.669999999999999929e+01,2.452491149084066624e+00,1.477046265606759834e-01,5.058624647805846086e-01,5.279782899814029484e-01
1.680000000000000071e+01,2.462778208641017486e+00,1.478805876660571061e-01,5.067306331769458883e-01,5.288368743769996660e-01
1.690000000000000213e+01,2.473177976396295108e+00,1.480996836337323541e-01,5.086499861471832640e-01,5.309309257614355237e-01
1.700000000000000000e+01,2.484245918228251249e+00,1.483834624276429148e-01,5.094783836774858798e-01,5.325665890020221394e-01
1.710000000000000142e+01,2.493636896350142074e+00,1.483471900393089904e-01,5.104070505681774783e-01,5.317627432714315816e-01
1.719999999999999929e+01,2.503252912767886862e+00,1.487983308397613780e-01,5.121019465041236618e-01,5.307207372128691647e-01
1.730000000000000071e+01,2.514122273217584969e+00,1.497252159967495111e-01,5.141466995903223314e-01,5.329212280823460990e-01
1.740000000000000213e+01,2.525656838505737856e+00,1.500132241809913891e-01,5.158978500914840337e-01,5.365725093286480840e-01
1.750000000000000000e+01,2.535697895994963869e+00,1.497779896037630121e-01,5.166452674765893427e-01,5.372768470636709592e-01
1.760000000000000142e+01,2.545484190067892616e+00,1.495370565895406678e-01,5.173932547374909818e-01,5.378390701509766503e-01
