lag_ps,Zr_A2,O_A2,Cl_A2
2.190000000000000213e+01,2.612803323126676736e-01,2.019215836674571052e-01,6.750294724491812115e-01
2.200000000000000000e+01,2.597762625742499609e-01,2.000888800972100146e-01,6.743385965250677794e-01
2.210000000000000142e+01,2.581223285895257180e-01,1.974122961603159698e-01,6.729654155129261017e-01
2.220000000000000284e+01,2.572985210502219400e-01,1.974500317447566988e-01,6.712768684471919212e-01
2.230000000000000071e+01,2.569354960363481322e-01,1.979859292802261528e-01,6.711009862468669818e-01
2.240000000000000213e+01,2.569138457332190151e-01,1.991218250027769476e-01,6.720990538029342209e-01
2.250000000000000000e+01,2.580085564058337000e-01,1.990681424653562293e-01,6.753833651873433208e-01
2.260000000000000142e+01,2.597867987303060788e-01,2.008596735138176159e-01,6.798910878312016681e-01
2.270000000000000284e+01,2.621792574371161200e-01,2.016848229295391259e-01,6.832792661093242126e-01
2.280000000000000071e+01,2.652677154805296311e-01,2.035224804084329597e-01,6.865570050526036416e-01
2.290000000000000213e+01,2.670978568305970580e-01,2.046097808688775999e-01,6.887157310433252855e-01
2.300000000000000000e+01,2.679957836606726151e-01,2.057766698681387507e-01,6.907667494126581431e-01
2.310000000000000142e+01,2.698859330589475913e-01,2.072363961796751253e-01,6.946209588382501465e-01
2.320000000000000284e+01,2.694059688892749271e-01,2.064356041708420852e-01,6.948955090146951008e-01
2.330000000000000071e+01,2.686755689207430686e-01,2.051611507387674782e-01,6.933989484987709284e-01
2.340000000000000213e+01,2.688325018895003637e-01,2.069922157242677641e-01,6.939351084165314987e-01
2.350000000000000000e+01,2.682570771596039516e-01,2.060368626807355386e-01,6.929504815973257514e-01
2.360000000000000142e+01,2.687381603993057588e-01,2.069875602853980534e-01,6.923652073082185998e-01
2.370000000000000284e+01,2.691866511763226222e-01,2.081181656881918307e-01,6.938017426534721643e-01
2.380000000000000071e+01,2.693362240262264784e-01,2.076552760595040681e-01,6.964079895244076335e-01
2.390000000000000213e+01,2.686748790636575568e-01,2.075372747252048067e-01,6.989430821467137456e-01
2.400000000000000000e+01,2.686055927971206514e-01,2.068299248989770578e-01,7.006957170648724365e-01
2.410000000000000142e+01,2.692297256829881968e-01,2.067343493463320581e-01,7.018444527300933267e-01
2.420000000000000284e+01,2.697847187371573696e-01,2.055148588583147751e-01,7.028473010517853892e-01
2.430000000000000071e+01,2.705257851875924602e-01,2.047147286575612124e-01,7.049829594595138360e-01
2.440000000000000213e+01,2.714810932985016190e-01,2.045463180680695547e-01,7.067926991139833470e-01
2.450000000000000000e+01,2.723727758602229598e-01,2.054159439788370567e-01,7.070013817816552804e-01
2.460000000000000142e+01,2.732407128175825539e-01,2.064075310684057585e-01,7.073575792265059947e-01
2.470000000000000284e+01,2.730152127865345668e-01,2.068932064782360025e-01,7.078629552425038662e-01
2.480000000000000071e+01,2.727037299882079102e-01,2.054018285070669803e-01,7.089412127178891243e-01
2.490000000000000213e+01,2.736625183716892007e-01,2.052494894486900645e-01,7.095597419725819810e-01
2.500000000000000000e+01,2.736596139454751109e-01,2.051689491395638221e-01,7.093920208507600300e-01
2.510000000000000142e+01,2.740403520278391625e-01,2.055196768873289170e-01,7.105271402088243482e-01
2.520000000000000284e+01,2.745558859610175984e-01,2.071646447331418894e-01,7.142847206890933220e-01
2.530000000000000071e+01,2.751363834315323498e-01,2.077115967809939900e-01,7.160659876401543888e-01
2.540000000000000213e+01,2.752298999315727634e-01,2.076437737467281275e-01,7.168508042028650662e-01
2.550000000000000000e+01,2.758539762783643323e-01,2.070424925446885667e-01,7.164172579971392896e-01
2.560000000000000142e+01,2.762783489681232552e-01,2.078969250835628890e-01,7.158074852431668411e-01
2.570000000000000284e+01,2.767648677355920572e-01,2.091006075791732588e-01,7.177948523206070242e-01
2.580000000000000071e+01,2.770538918168625742e-01,2.098993464964808431e-01,7.205683373299243133e-01
2.590000000000000213e+01,2.771825649979789974e-01,2.095316451160496585e-01,7.231596838396033844e-01
2.600000000000000000e+01,2.776711011180099109e-01,2.088585578766802564e-01,7.251825035078489634e-01
2.610000000000000142e+01,2.783529344021608010e-01,2.088811154754072752e-01,7.265021752173456138e-01
2.620000000000000284e+01,2.789684355174651409e-01,2.075447297041527750e-01,7.289359497500382812e-01
2.630000000000000071e+01,2.795082210694923575e-01,2.088519510416593505e-01,7.310028145054220383e-01
2.640000000000000213e+01,2.799693129796827495e-01,2.082847219887604129e-01,7.342651639781148099e-01
2.650000000000000000e+01,2.810183366847844866e-01,2.087786746197185239e-01,7.392293063610945181e-01
2.660000000000000142e+01,2.807174361479254920e-01,2.096037312558788335e-01,7.398060118067777413e-01
