time_ps,density_g_cm3,CN_ZrO_2.6A,CN_ZrCl_3.2A,fraction_S_fourO_2A
1.330000000000000071e+01,1.807923168819007831e+00,1.531250000000000000e+00,4.250000000000000000e+00,1.000000000000000000e+00
1.340000000000000036e+01,1.834996433342622524e+00,1.500000000000000000e+00,4.250000000000000000e+00,1.000000000000000000e+00
1.350000000000000000e+01,1.821916363561903118e+00,1.500000000000000000e+00,4.187500000000000000e+00,1.000000000000000000e+00
1.360000000000000142e+01,1.817606710583967278e+00,1.500000000000000000e+00,4.218750000000000000e+00,1.000000000000000000e+00
1.370000000000000107e+01,1.824180355767180961e+00,1.531250000000000000e+00,4.218750000000000000e+00,1.000000000000000000e+00
1.380000000000000071e+01,1.846638939933315182e+00,1.500000000000000000e+00,4.187500000000000000e+00,1.000000000000000000e+00
1.390000000000000036e+01,1.857071665483280176e+00,1.500000000000000000e+00,4.250000000000000000e+00,1.000000000000000000e+00
1.400000000000000000e+01,1.845390005811047507e+00,1.500000000000000000e+00,4.281250000000000000e+00,1.000000000000000000e+00
1.410000000000000142e+01,1.837544953576777607e+00,1.500000000000000000e+00,4.281250000000000000e+00,1.000000000000000000e+00
1.420000000000000107e+01,1.830598147077742599e+00,1.500000000000000000e+00,4.281250000000000000e+00,1.000000000000000000e+00
1.430000000000000071e+01,1.819481515286526685e+00,1.500000000000000000e+00,4.312500000000000000e+00,1.000000000000000000e+00
1.440000000000000036e+01,1.829668366896609388e+00,1.531250000000000000e+00,4.312500000000000000e+00,1.000000000000000000e+00
1.450000000000000000e+01,1.844076352822435094e+00,1.500000000000000000e+00,4.312500000000000000e+00,1.000000000000000000e+00
1.460000000000000142e+01,1.840307469614959945e+00,1.500000000000000000e+00,4.281250000000000000e+00,1.000000000000000000e+00
1.470000000000000107e+01,1.835021161000939038e+00,1.500000000000000000e+00,4.281250000000000000e+00,1.000000000000000000e+00
1.480000000000000071e+01,1.822378396237004372e+00,1.500000000000000000e+00,4.250000000000000000e+00,1.000000000000000000e+00
1.490000000000000036e+01,1.822276060244350626e+00,1.500000000000000000e+00,4.281250000000000000e+00,1.000000000000000000e+00
1.500000000000000000e+01,1.839993536014573161e+00,1.500000000000000000e+00,4.218750000000000000e+00,1.000000000000000000e+00
1.510000000000000142e+01,1.832938394402616744e+00,1.500000000000000000e+00,4.312500000000000000e+00,1.000000000000000000e+00
1.520000000000000107e+01,1.837918163729329146e+00,1.500000000000000000e+00,4.250000000000000000e+00,1.000000000000000000e+00
1.530000000000000071e+01,1.845207327173572942e+00,1.500000000000000000e+00,4.281250000000000000e+00,1.000000000000000000e+00
1.540000000000000036e+01,1.847038285358134413e+00,1.531250000000000000e+00,4.281250000000000000e+00,1.000000000000000000e+00
1.550000000000000000e+01,1.838349438691875504e+00,1.468750000000000000e+00,4.281250000000000000e+00,1.000000000000000000e+00
1.560000000000000142e+01,1.838658137106978563e+00,1.500000000000000000e+00,4.250000000000000000e+00,1.000000000000000000e+00
1.570000000000000107e+01,1.833730848132904212e+00,1.500000000000000000e+00,4.250000000000000000e+00,1.000000000000000000e+00
1.580000000000000071e+01,1.820417312845700852e+00,1.500000000000000000e+00,4.281250000000000000e+00,1.000000000000000000e+00
1.590000000000000036e+01,1.827549820771617206e+00,1.500000000000000000e+00,4.250000000000000000e+00,1.000000000000000000e+00
1.600000000000000000e+01,1.836051080059961427e+00,1.531250000000000000e+00,4.281250000000000000e+00,1.000000000000000000e+00
1.610000000000000142e+01,1.862251957611675612e+00,1.531250000000000000e+00,4.312500000000000000e+00,1.000000000000000000e+00
1.619999999999999929e+01,1.876208890436054988e+00,1.500000000000000000e+00,4.281250000000000000e+00,1.000000000000000000e+00
1.630000000000000071e+01,1.883740347587278929e+00,1.500000000000000000e+00,4.343750000000000000e+00,1.000000000000000000e+00
1.640000000000000213e+01,1.892624296640672998e+00,1.500000000000000000e+00,4.375000000000000000e+00,1.000000000000000000e+00
1.650000000000000000e+01,1.897693274709024047e+00,1.531250000000000000e+00,4.312500000000000000e+00,1.000000000000000000e+00
1.660000000000000142e+01,1.873285979214172059e+00,1.500000000000000000e+00,4.343750000000000000e+00,1.000000000000000000e+00
1.669999999999999929e+01,1.859283809862098513e+00,1.500000000000000000e+00,4.187500000000000000e+00,1.000000000000000000e+00
1.680000000000000071e+01,1.848764828119088488e+00,1.500000000000000000e+00,4.250000000000000000e+00,1.000000000000000000e+00
1.690000000000000213e+01,1.821974578327788974e+00,1.531250000000000000e+00,4.281250000000000000e+00,1.000000000000000000e+00
1.700000000000000000e+01,1.797549632280504683e+00,1.500000000000000000e+00,4.312500000000000000e+00,1.000000000000000000e+00
1.710000000000000142e+01,1.807059757115076604e+00,1.500000000000000000e+00,4.312500000000000000e+00,1.000000000000000000e+00
1.719999999999999929e+01,1.847875531176974562e+00,1.531250000000000000e+00,4.218750000000000000e+00,1.000000000000000000e+00
1.730000000000000071e+01,1.830770989295830153e+00,1.531250000000000000e+00,4.281250000000000000e+00,1.000000000000000000e+00
1.740000000000000213e+01,1.813779811450346724e+00,1.500000000000000000e+00,4.250000000000000000e+00,1.000000000000000000e+00
1.750000000000000000e+01,1.824319065179555333e+00,1.531250000000000000e+00,4.281250000000000000e+00,1.000000000000000000e+00
1.760000000000000142e+01,1.851364074333017751e+00,1.531250000000000000e+00,4.312500000000000000e+00,1.000000000000000000e+00
1.769999999999999929e+01,1.843172204864279795e+00,1.531250000000000000e+00,4.250000000000000000e+00,1.000000000000000000e+00
1.780000000000000071e+01,1.811742004626460734e+00,1.531250000000000000e+00,4.218750000000000000e+00,1.000000000000000000e+00
1.790000000000000213e+01,1.794578765488457073e+00,1.531250000000000000e+00,4.250000000000000000e+00,1.000000000000000000e+00
1.800000000000000000e+01,1.810114072765063309e+00,1.531250000000000000e+00,4.281250000000000000e+00,1.000000000000000000e+00
1.810000000000000142e+01,1.818991207517913544e+00,1.531250000000000000e+00,4.281250000000000000e+00,1.000000000000000000e+00
1.819999999999999929e+01,1.819247941859935214e+00,1.500000000000000000e+00,4.281250000000000000e+00,1.000000000000000000e+00
1.830000000000000071e+01,1.822308144314019884e+00,1.500000000000000000e+00,4.281250000000000000e+00,1.000000000000000000e+00
1.840000000000000213e+01,1.828359247175586511e+00,1.500000000000000000e+00,4.281250000000000000e+00,1.000000000000000000e+00
1.850000000000000000e+01,1.841843471615463690e+00,1.500000000000000000e+00,4.281250000000000000e+00,1.000000000000000000e+00
1.860000000000000142e+01,1.843475491133917066e+00,1.500000000000000000e+00,4.281250000000000000e+00,1.000000000000000000e+00
1.869999999999999929e+01,1.870859076615251304e+00,1.500000000000000000e+00,4.281250000000000000e+00,1.000000000000000000e+00
1.880000000000000071e+01,1.884912175534615431e+00,1.500000000000000000e+00,4.281250000000000000e+00,1.000000000000000000e+00
1.890000000000000213e+01,1.878011056842876503e+00,1.500000000000000000e+00,4.312500000000000000e+00,1.000000000000000000e+00
