lag_ps,Zr_A2,O_A2,Cl_A2
2.460000000000000142e+01,2.104763637387516151e-01,2.026096568605301740e-01,5.377186291115322314e-01
2.470000000000000284e+01,2.113605981881081231e-01,2.039954075127244915e-01,5.385992350428727704e-01
2.480000000000000071e+01,2.128157630921351240e-01,2.058102443914664736e-01,5.400132272916302600e-01
2.490000000000000213e+01,2.129687292246374986e-01,2.056813081687303979e-01,5.404864250191079300e-01
2.500000000000000000e+01,2.131641130024998498e-01,2.057622689744854072e-01,5.410436981481206997e-01
2.510000000000000142e+01,2.136660174251543143e-01,2.079372456897496668e-01,5.408829398232375407e-01
2.520000000000000284e+01,2.135650642883024086e-01,2.077459425525309822e-01,5.408255308705758324e-01
2.530000000000000071e+01,2.128875561393793747e-01,2.084421600689631282e-01,5.396634870523824290e-01
2.540000000000000213e+01,2.117622785643729078e-01,2.091985909401277155e-01,5.398749144402104072e-01
2.550000000000000000e+01,2.101960350538116529e-01,2.066692070172098938e-01,5.387532257006553138e-01
2.560000000000000142e+01,2.088031534371469766e-01,2.051191056852858796e-01,5.376515179982961357e-01
2.570000000000000284e+01,2.085108188649894834e-01,2.054802344734542319e-01,5.363578456351201229e-01
2.580000000000000071e+01,2.089906338510107708e-01,2.053101848888584380e-01,5.358009382002738574e-01
2.590000000000000213e+01,2.101621280600083352e-01,2.052769566165889570e-01,5.354852568901228294e-01
2.600000000000000000e+01,2.115758863706266868e-01,2.066640695158503127e-01,5.368137928969659578e-01
2.610000000000000142e+01,2.118128902010588122e-01,2.059832632898877247e-01,5.376154264499715119e-01
2.620000000000000284e+01,2.119876358790594995e-01,2.056802184368094755e-01,5.386528872645430788e-01
2.630000000000000071e+01,2.112070110699976744e-01,2.048076335142829385e-01,5.381235725896477140e-01
2.640000000000000213e+01,2.102290232527001812e-01,2.036462624970284963e-01,5.366269334923758905e-01
2.650000000000000000e+01,2.098219675642817028e-01,2.031436052157426786e-01,5.364725778599629402e-01
2.660000000000000142e+01,2.101545207847888563e-01,2.013569760828259614e-01,5.366521399917357771e-01
2.670000000000000284e+01,2.104968830026957283e-01,2.019598552514952072e-01,5.371348831463990114e-01
2.680000000000000071e+01,2.106646234423977526e-01,2.034328010423864519e-01,5.381335313389656871e-01
2.690000000000000213e+01,2.106472802349803053e-01,2.055512134230019494e-01,5.385505912187386057e-01
2.700000000000000000e+01,2.097204483438189493e-01,2.050557730488139219e-01,5.373207101753940673e-01
2.710000000000000142e+01,2.084526957546620762e-01,2.058722209234357392e-01,5.378056950926507485e-01
2.720000000000000284e+01,2.078294530568322029e-01,2.056516928931231836e-01,5.381910457234204692e-01
2.730000000000000071e+01,2.076611938377589395e-01,2.048098444770935223e-01,5.377107552434789994e-01
2.740000000000000213e+01,2.083142212469376031e-01,2.052545319181643124e-01,5.379856582220086114e-01
2.750000000000000000e+01,2.094849205282108273e-01,2.062683005982224316e-01,5.385814859311552905e-01
2.760000000000000142e+01,2.105956717984464321e-01,2.064040462633409401e-01,5.405034896804339350e-01
2.770000000000000284e+01,2.115003697128711724e-01,2.066071057522939902e-01,5.432113354836795027e-01
2.780000000000000071e+01,2.120275651794107930e-01,2.067796491831769834e-01,5.448122616688090281e-01
2.790000000000000213e+01,2.135771524319460268e-01,2.080076741991700728e-01,5.464879374138071899e-01
2.800000000000000000e+01,2.143552114437118905e-01,2.084389668135769869e-01,5.475475953167155962e-01
2.810000000000000142e+01,2.149987405334573554e-01,2.107313195816281348e-01,5.486879594828544260e-01
2.820000000000000284e+01,2.162970935767060676e-01,2.105259454919554685e-01,5.520489179717914530e-01
2.830000000000000071e+01,2.169842346307562508e-01,2.130456804108959157e-01,5.535218378170927434e-01
2.840000000000000213e+01,2.171486371736114085e-01,2.143657463791422413e-01,5.541564294922067813e-01
2.850000000000000000e+01,2.168564162889985991e-01,2.127266497347434226e-01,5.536781209881241894e-01
2.860000000000000142e+01,2.152112067434282239e-01,2.129650355784708515e-01,5.500158621709190232e-01
2.870000000000000284e+01,2.133812827357623176e-01,2.118913515097762823e-01,5.452941624887435168e-01
2.880000000000000071e+01,2.117412539493397361e-01,2.103844761233805427e-01,5.442509556793507786e-01
2.890000000000000213e+01,2.104538235464960827e-01,2.108511801881954029e-01,5.449011897233554391e-01
