time_ps,T_K,PE_eV_atom,P_GPa
7.700000000000000178e+00,4.449614467700000091e+02,-5.460460713970587854e+00,-5.947343433566666393e-01
7.750000000000000000e+00,4.431819122499999821e+02,-5.460702292647058975e+00,1.228346929549999911e-01
7.800000000000000711e+00,4.089957172900000160e+02,-5.461327623161764677e+00,3.288104066766666528e-02
7.850000000000000533e+00,3.944643424199999799e+02,-5.463370740073529852e+00,4.736916572966667210e-02
7.900000000000000355e+00,3.571288063900000225e+02,-5.459767265441176853e+00,-2.081754667433333150e-01
7.950000000000000178e+00,3.953512930900000129e+02,-5.464176426838235123e+00,-2.037503637810000046e-01
8.000000000000000000e+00,3.895265035499999726e+02,-5.462324654044117267e+00,-4.516837651000000231e-01
8.050000000000000711e+00,3.994105106499999920e+02,-5.462181830514706071e+00,-6.165104610000000235e-02
8.099999999999999645e+00,3.938352080500000056e+02,-5.458954438602940940e+00,-5.745505341833333918e-02
8.150000000000000355e+00,4.067290199999999913e+02,-5.458524100367647236e+00,1.459005183253333504e-01
8.200000000000001066e+00,3.959042592000000127e+02,-5.456204365441176485e+00,-2.095674437199999615e-02
8.250000000000000000e+00,4.192611528200000066e+02,-5.458643493749999465e+00,-2.209214858366666603e-02
8.300000000000000711e+00,4.391866563300000053e+02,-5.462379048529411918e+00,-2.812121309400000269e-01
8.349999999999999645e+00,3.812158222699999897e+02,-5.459884014705882471e+00,-3.250417841000000085e-02
8.400000000000000355e+00,4.071241451399999960e+02,-5.465503327573529191e+00,-3.019692640256666505e-01
8.450000000000001066e+00,3.868086510200000134e+02,-5.463529518750000591e+00,-1.909904634926666844e-01
8.500000000000000000e+00,4.042715109900000243e+02,-5.464991509558823068e+00,4.370808661133333550e-01
8.550000000000000711e+00,4.074772166899999775e+02,-5.464273302573529278e+00,2.496635565666666112e-02
8.599999999999999645e+00,4.251413684600000238e+02,-5.465517809558823714e+00,1.491900644470000037e-01
8.650000000000000355e+00,3.995524283799999807e+02,-5.461225168014705922e+00,1.305433840490000108e-01
8.700000000000001066e+00,4.306981810400000086e+02,-5.463433710661765197e+00,1.765438888279999841e-01
8.750000000000000000e+00,4.196371849999999881e+02,-5.461191631250000178e+00,6.583114503999999700e-02
8.800000000000000711e+00,4.073949822499999982e+02,-5.460877354044117560e+00,-1.091435198706000032e-01
8.849999999999999645e+00,4.076877842700000087e+02,-5.462602508823529490e+00,-6.646923024333332118e-03
8.900000000000000355e+00,4.043287065499999926e+02,-5.464310647426470879e+00,5.993718246666742680e-04
8.950000000000001066e+00,3.925380770099999950e+02,-5.465598131249999270e+00,3.544271513000000345e-02
9.000000000000000000e+00,3.647309150799999884e+02,-5.463742362499999672e+00,-4.221147477666666731e-02
9.050000000000000711e+00,3.887454294199999936e+02,-5.466640551470588250e+00,4.843591766166666090e-01
9.099999999999999645e+00,3.717509284899999784e+02,-5.463564944852940641e+00,2.316074422866666593e-01
9.150000000000000355e+00,3.988103808399999934e+02,-5.465534658088235354e+00,-5.043996408599998871e-02
9.200000000000001066e+00,3.811420501100000138e+02,-5.462409107720588075e+00,1.784541188366666475e-01
9.250000000000000000e+00,3.791482763600000112e+02,-5.461152853308823829e+00,-8.128044593000000040e-02
