lag_ps,Li_A2,P_A2,O_A2,N_A2
1.669999999999999929e+01,2.018921317123508175e+01,4.458095488101913029e-01,2.096566394263359001e+00,1.334044896589150042e+00
1.680000000000000071e+01,2.030766227221772269e+01,4.469783347305698040e-01,2.102545013644352423e+00,1.334516697513684180e+00
1.690000000000000213e+01,2.042721477453526902e+01,4.470906441664149189e-01,2.107630820898307444e+00,1.335398565069060739e+00
1.700000000000000000e+01,2.054164129959262652e+01,4.477363565261069933e-01,2.113529142047815501e+00,1.338603071671746303e+00
1.710000000000000142e+01,2.065869741705981255e+01,4.485574253503397113e-01,2.119389411231299647e+00,1.339342802374895891e+00
1.719999999999999929e+01,2.077514965287870297e+01,4.488328441083317966e-01,2.126542003912008649e+00,1.340313592317413205e+00
1.730000000000000071e+01,2.089327496947645812e+01,4.501829993679575259e-01,2.132414570274845822e+00,1.345281680875627828e+00
1.740000000000000213e+01,2.100903222008030369e+01,4.512970710678653741e-01,2.139933978782573742e+00,1.348185930175079594e+00
1.750000000000000000e+01,2.112592733914241450e+01,4.511247338961746345e-01,2.144236969668592341e+00,1.352272669902247593e+00
1.760000000000000142e+01,2.124397958060735903e+01,4.519005627992748741e-01,2.150427643298945757e+00,1.354074623575900693e+00
1.769999999999999929e+01,2.135939576130262196e+01,4.533306829889146572e-01,2.157445866170950133e+00,1.359258221474356709e+00
1.780000000000000071e+01,2.147858501989989577e+01,4.555511792834787688e-01,2.165177874148467740e+00,1.364297119165056360e+00
1.790000000000000213e+01,2.159707224775849710e+01,4.554538890330719902e-01,2.170603543522062751e+00,1.366220822312675720e+00
1.800000000000000000e+01,2.171461382453106737e+01,4.555475811250993545e-01,2.175586291575622777e+00,1.366017371630804611e+00
1.810000000000000142e+01,2.183146397615582757e+01,4.559203322465175678e-01,2.181705140483066518e+00,1.369992204692361382e+00
1.819999999999999929e+01,2.194775321457977313e+01,4.573127392091782539e-01,2.186698287978168231e+00,1.376768278257094691e+00
1.830000000000000071e+01,2.206532846495169053e+01,4.581111616996304536e-01,2.192451760611571654e+00,1.378307402269378867e+00
1.840000000000000213e+01,2.218363374987441006e+01,4.595118000097950239e-01,2.198667919195020470e+00,1.377974158110716774e+00
1.850000000000000000e+01,2.230056577105331073e+01,4.611343109924093131e-01,2.204834272312392596e+00,1.381535988960156836e+00
1.860000000000000142e+01,2.241899134143795536e+01,4.592569921330441063e-01,2.207778320389271354e+00,1.383320415075687926e+00
1.869999999999999929e+01,2.253846064467078847e+01,4.590707551388686913e-01,2.211703403540583590e+00,1.383493399819140768e+00
1.880000000000000071e+01,2.265781766188390378e+01,4.608092490430619748e-01,2.216997175620690985e+00,1.384959585140628002e+00
1.890000000000000213e+01,2.277546382709033779e+01,4.615850926377307872e-01,2.221603123663505208e+00,1.387607357994365520e+00
1.900000000000000000e+01,2.289038260220423027e+01,4.623302108660872767e-01,2.226966230355103438e+00,1.386508217031021895e+00
