lag_ps,Li_MSD_A2,Li_COM_removed_window_MSD_A2,single_origin_system_COM_removed_A2
1.409999999999999964e+01,7.027198060665277524e+01,6.851765540730278303e+01,7.965206999074135297e+01
1.420000000000000107e+01,7.069822881076807164e+01,6.893449783498553529e+01,8.202264980831198216e+01
1.430000000000000071e+01,7.111834451411435509e+01,6.934453457830450418e+01,8.074019054249815497e+01
1.440000000000000036e+01,7.154014901833467377e+01,6.975746858399431005e+01,8.058021649169154443e+01
1.450000000000000000e+01,7.196575213663932402e+01,7.017368636285182504e+01,8.083545852451058522e+01
1.459999999999999964e+01,7.240018312928775401e+01,7.059806458396809603e+01,8.259759261573407230e+01
1.470000000000000107e+01,7.284134662907761992e+01,7.102925622016725526e+01,8.495759265997783416e+01
1.480000000000000071e+01,7.327312784019261471e+01,7.145076217589387113e+01,8.763861122044652063e+01
1.490000000000000036e+01,7.369960977179377437e+01,7.186652098072130457e+01,8.804897114612410292e+01
1.500000000000000000e+01,7.412220504958806089e+01,7.227775227463733643e+01,8.861363229977736466e+01
1.509999999999999964e+01,7.453918116479393063e+01,7.268344417875127306e+01,9.322176757723617868e+01
1.520000000000000107e+01,7.496089573058917210e+01,7.309363335833327824e+01,9.264235798323436200e+01
1.530000000000000071e+01,7.538338367395941475e+01,7.350478184313072916e+01,9.103969979215908381e+01
1.540000000000000036e+01,7.581033846620134398e+01,7.391985691929866675e+01,9.419890341794086908e+01
1.550000000000000000e+01,7.624006563291018779e+01,7.433785514852705489e+01,9.180997030057199026e+01
1.559999999999999964e+01,7.666331939953541053e+01,7.474956614957959289e+01,9.077821281894541983e+01
1.570000000000000107e+01,7.708190159736761871e+01,7.515602593898763928e+01,8.868445764761329997e+01
1.580000000000000071e+01,7.750943114066205908e+01,7.556968876267180235e+01,8.851364655853106456e+01
1.590000000000000036e+01,7.793750963030994683e+01,7.598416187383540432e+01,8.820800689734639377e+01
1.600000000000000000e+01,7.836719852684049670e+01,7.640029350584735823e+01,8.631835304135262277e+01
1.610000000000000142e+01,7.879945419601821754e+01,7.681879438570821605e+01,8.692412958446669791e+01
1.619999999999999929e+01,7.923307025034108619e+01,7.723930071568511835e+01,8.516074483772155190e+01
1.630000000000000071e+01,7.966388564225877644e+01,7.765754213293180896e+01,8.798156175283374125e+01
1.639999999999999858e+01,8.009319119387092201e+01,7.807266275124563037e+01,8.975448743680595953e+01
1.650000000000000000e+01,8.051699422994204269e+01,7.848261588616151130e+01,9.124575739183536882e+01
1.660000000000000142e+01,8.093434336089826786e+01,7.888599488245695568e+01,9.230376021389373875e+01
1.669999999999999929e+01,8.134975103021616860e+01,7.928650068476288482e+01,9.206294342351540649e+01
1.680000000000000071e+01,8.176557907645253920e+01,7.968707125555128812e+01,9.294357407960553985e+01
1.689999999999999858e+01,8.218545354859887198e+01,8.009169123219982112e+01,9.203258731734348430e+01
1.700000000000000000e+01,8.260675983906740782e+01,8.049792673549642075e+01,9.053303025747898403e+01
1.710000000000000142e+01,8.303045034305583272e+01,8.090584947370068392e+01,9.592464559355654785e+01
1.719999999999999929e+01,8.345259594506107703e+01,8.131378357619074393e+01,9.433425776290083320e+01
1.730000000000000071e+01,8.387309326029891565e+01,8.171922214647942440e+01,9.312156863593698120e+01
1.740000000000000213e+01,8.429354508733817397e+01,8.212426647213848696e+01,9.411190713988784751e+01
1.750000000000000000e+01,8.470964311532434010e+01,8.252618000125056597e+01,9.395588744086246891e+01
1.760000000000000142e+01,8.512421782620809552e+01,8.292687982968864446e+01,9.234452435633168932e+01
1.769999999999999929e+01,8.553100000732567310e+01,8.331978373136789173e+01,9.151770465294517010e+01
1.780000000000000071e+01,8.594582575227148880e+01,8.371881643071664314e+01,8.827861009687548233e+01
1.790000000000000213e+01,8.636680888001497181e+01,8.412509572548907499e+01,9.140051236739860485e+01
1.800000000000000000e+01,8.678289671150442075e+01,8.452631730360032236e+01,9.276763843158605027e+01
1.810000000000000142e+01,8.719178261934379748e+01,8.492024163180862217e+01,9.452365019000042423e+01
1.819999999999999929e+01,8.759840122605103829e+01,8.531274709883649621e+01,9.477775479303302575e+01
1.830000000000000071e+01,8.800922498542023220e+01,8.570829833810370246e+01,9.617543074460743924e+01
1.840000000000000213e+01,8.842060320887181035e+01,8.610434574035478761e+01,9.596372435466513195e+01
1.850000000000000000e+01,8.883655664059108403e+01,8.650577557280057306e+01,9.750300875577427462e+01
1.860000000000000142e+01,8.925641012612105385e+01,8.691052467347444122e+01,9.833291447366438831e+01
1.869999999999999929e+01,8.967112455579386676e+01,8.730981634858788709e+01,9.558545547406168907e+01
1.880000000000000071e+01,9.008145971266078789e+01,8.770396331945184443e+01,9.403073312085616919e+01
1.890000000000000213e+01,9.049730309296158737e+01,8.810385545692771814e+01,9.587294679391183649e+01
1.900000000000000000e+01,9.091126462153994225e+01,8.850194491123386342e+01,1.000415535764656312e+02
1.910000000000000142e+01,9.131847397888967066e+01,8.889338412935076406e+01,1.020770344932732456e+02
