lag_ps,Li_A2,P_A2,O_A2,N_A2
1.800000000000000000e+01,2.463980534606747597e+00,1.414094340919827553e-01,4.547440485793197706e-01,4.149930854048032858e-01
1.810000000000000142e+01,2.474449340680425546e+00,1.415372260912304836e-01,4.556123768145997066e-01,4.160322407329573591e-01
1.819999999999999929e+01,2.486336071320252916e+00,1.416196277073867582e-01,4.568480994149565211e-01,4.171236900634373579e-01
1.830000000000000071e+01,2.496929152662196838e+00,1.420725267803845115e-01,4.580292491878243388e-01,4.187999166183308808e-01
1.840000000000000213e+01,2.508807728372824730e+00,1.420809928589985283e-01,4.585778613267397774e-01,4.210567039832407432e-01
1.850000000000000000e+01,2.520584996446066040e+00,1.422704265200496476e-01,4.590758984429509360e-01,4.208668004309080724e-01
1.860000000000000142e+01,2.530537903428612623e+00,1.424826321180653332e-01,4.608898926834198995e-01,4.209915480292013568e-01
1.869999999999999929e+01,2.541902013878814426e+00,1.427252220436272256e-01,4.614535509069859764e-01,4.224099476069331227e-01
1.880000000000000071e+01,2.552961681216530554e+00,1.426814053318643805e-01,4.621812156421129525e-01,4.230515194399941947e-01
1.890000000000000213e+01,2.562865205409357028e+00,1.431235867546800933e-01,4.633733948412127601e-01,4.247724679675684012e-01
1.900000000000000000e+01,2.573525875652588724e+00,1.434017002542450347e-01,4.642009824715992439e-01,4.242905814240782170e-01
1.910000000000000142e+01,2.582799411650827270e+00,1.433004763533159975e-01,4.643550866111297304e-01,4.242807572251387493e-01
1.920000000000000284e+01,2.592785571763440267e+00,1.430511996642071515e-01,4.645015310846716816e-01,4.248396592105653236e-01
1.930000000000000071e+01,2.603175558003614665e+00,1.434596852147805024e-01,4.655839951281275924e-01,4.251580228515517978e-01
1.940000000000000213e+01,2.614235330932956902e+00,1.436606882791910678e-01,4.662225390071688680e-01,4.263727497475133243e-01
1.950000000000000000e+01,2.625347277305036808e+00,1.437969443808659598e-01,4.666640823383019776e-01,4.263236378802383597e-01
1.960000000000000142e+01,2.636113646864925997e+00,1.432562416824193496e-01,4.666190593958376431e-01,4.253766555305136254e-01
1.970000000000000284e+01,2.647780091300580008e+00,1.438618541668581774e-01,4.679064429845904982e-01,4.280980898525951206e-01
1.980000000000000071e+01,2.658513959650730563e+00,1.442329857084314049e-01,4.696071441849551942e-01,4.288087237098272553e-01
1.990000000000000213e+01,2.670687532134999209e+00,1.443434795354172073e-01,4.705482192887689430e-01,4.300225194113009297e-01
2.000000000000000000e+01,2.680588301100291115e+00,1.439506228615290706e-01,4.708254626732147896e-01,4.298945664417460621e-01
2.010000000000000142e+01,2.692783104199424127e+00,1.444815528561498308e-01,4.721164095768701774e-01,4.318523772294948770e-01
2.020000000000000284e+01,2.704334719384052121e+00,1.448480586911919665e-01,4.731643402080945582e-01,4.322762276963115213e-01
2.030000000000000071e+01,2.715279845127219094e+00,1.446055932447798120e-01,4.742646599429450327e-01,4.331775286243285672e-01
2.040000000000000213e+01,2.726627317326167255e+00,1.450897276223744037e-01,4.757769050415495693e-01,4.332381798438222908e-01
