lag_ps,Li_A2,P_A2,S_A2
1.669999999999999929e+01,1.340235121357184589e+00,1.571776000507836835e-01,2.733221065607379097e-01
1.680000000000000071e+01,1.342993016248185123e+00,1.575298642903836532e-01,2.737069125010480053e-01
1.690000000000000213e+01,1.345593335389733802e+00,1.575818769784029516e-01,2.739895698731915630e-01
1.700000000000000000e+01,1.347639122965281100e+00,1.572471634649474370e-01,2.738514341774047622e-01
1.710000000000000142e+01,1.349999625987760909e+00,1.569192578866073773e-01,2.735581433612623847e-01
1.719999999999999929e+01,1.353474158583107378e+00,1.567520142921206006e-01,2.735925689325710564e-01
1.730000000000000071e+01,1.356559499270995506e+00,1.565240460907644238e-01,2.735112729086182082e-01
1.740000000000000213e+01,1.359366488041107823e+00,1.563839674200629137e-01,2.731411731492409678e-01
1.750000000000000000e+01,1.362161614941208132e+00,1.567231562020450775e-01,2.732754479595327912e-01
1.760000000000000142e+01,1.365656842917103431e+00,1.572191678438915052e-01,2.742860472571756469e-01
1.769999999999999929e+01,1.369582850263150187e+00,1.575634670725943876e-01,2.747813101044321304e-01
1.780000000000000071e+01,1.372610503838001650e+00,1.582418310689869545e-01,2.748665131399344319e-01
1.790000000000000213e+01,1.375666120802852666e+00,1.586966452172632602e-01,2.754574621299582526e-01
1.800000000000000000e+01,1.378488421843723666e+00,1.581864655512149609e-01,2.749473815214051320e-01
1.810000000000000142e+01,1.381057456365652136e+00,1.575327163751029380e-01,2.743665780909138041e-01
1.819999999999999929e+01,1.382455107542191586e+00,1.569389501159214328e-01,2.736478140950969751e-01
1.830000000000000071e+01,1.384940302982308413e+00,1.558967381617179238e-01,2.728521849797403975e-01
1.840000000000000213e+01,1.386413386487918675e+00,1.555109002147413710e-01,2.724371717531564596e-01
1.850000000000000000e+01,1.389277203430683727e+00,1.558863937138340039e-01,2.726482110783522983e-01
1.860000000000000142e+01,1.394007310436071290e+00,1.567526728036272576e-01,2.741087785133064503e-01
1.869999999999999929e+01,1.398878453083939544e+00,1.579223683574130510e-01,2.755177609750940615e-01
1.880000000000000071e+01,1.402047474139795913e+00,1.586124551720745346e-01,2.761748828453624016e-01
1.890000000000000213e+01,1.404505072845198876e+00,1.591608884336162821e-01,2.764883020290948012e-01
1.900000000000000000e+01,1.407604271489176551e+00,1.592017751298165362e-01,2.769606357177695211e-01
1.910000000000000142e+01,1.409412164170745996e+00,1.587601524362533545e-01,2.763660551619388506e-01
1.920000000000000284e+01,1.410109255621294189e+00,1.578576401573877352e-01,2.750598993984062490e-01
1.930000000000000071e+01,1.413339902429385120e+00,1.571687422473155848e-01,2.745437469120415308e-01
1.940000000000000213e+01,1.415094681381658948e+00,1.566855844675199838e-01,2.741531046774623448e-01
1.950000000000000000e+01,1.416726476044619654e+00,1.565399231119074808e-01,2.739430967214802615e-01
1.960000000000000142e+01,1.420011369266944490e+00,1.568894414187993747e-01,2.747970421324827384e-01
1.970000000000000284e+01,1.423803600896053956e+00,1.577606809175456093e-01,2.758654985393780845e-01
1.980000000000000071e+01,1.427507655451666357e+00,1.583715920578673830e-01,2.768853051409763677e-01
1.990000000000000213e+01,1.430091180955351149e+00,1.585884694448133347e-01,2.769090170893944713e-01
2.000000000000000000e+01,1.432630947511366104e+00,1.587367984971713164e-01,2.770888548981842447e-01
2.010000000000000142e+01,1.436050658165508143e+00,1.589286818724787720e-01,2.779424788873286478e-01
2.020000000000000284e+01,1.438758310551497166e+00,1.591225271875807701e-01,2.779041381869086225e-01
2.030000000000000071e+01,1.440525776190900942e+00,1.590603599544231639e-01,2.775928708337088158e-01
2.040000000000000213e+01,1.443442889941126905e+00,1.591043383227734864e-01,2.777379131423107217e-01
2.050000000000000000e+01,1.447042091744693781e+00,1.593874347430203064e-01,2.779274862516013522e-01
2.060000000000000142e+01,1.449169662080530996e+00,1.587363423238821736e-01,2.776584227394749416e-01
2.070000000000000284e+01,1.451109282897543595e+00,1.581817738157081377e-01,2.770741201837407242e-01
2.080000000000000071e+01,1.453486372482435396e+00,1.575743892149511771e-01,2.767174636539831978e-01
2.090000000000000213e+01,1.457265049637580301e+00,1.582541065838640737e-01,2.776504141552431082e-01
2.100000000000000000e+01,1.459852832831392222e+00,1.588991180679236448e-01,2.783439140886114216e-01
2.110000000000000142e+01,1.461592222108390571e+00,1.585644057656855344e-01,2.776903852905623915e-01
2.120000000000000284e+01,1.462940474580820771e+00,1.583727698133332862e-01,2.774167403536133003e-01
2.130000000000000071e+01,1.466246661624287073e+00,1.588236977402429917e-01,2.778044977112820724e-01
2.140000000000000213e+01,1.469495440127708275e+00,1.594117485302362081e-01,2.789072786734832499e-01
2.150000000000000000e+01,1.473534440145177538e+00,1.599829795376949138e-01,2.795614574584498468e-01
2.160000000000000142e+01,1.475482776754204917e+00,1.601245848453360376e-01,2.797768770936432392e-01
2.170000000000000284e+01,1.477037112873020641e+00,1.596154570185732424e-01,2.791087557367729066e-01
2.180000000000000071e+01,1.478628251743718813e+00,1.589085360570319794e-01,2.781920953215821779e-01
2.190000000000000213e+01,1.480460797490414260e+00,1.585394013489752063e-01,2.777818161252506579e-01
2.200000000000000000e+01,1.483330293750085849e+00,1.583356570331439506e-01,2.778176771883545948e-01
2.210000000000000142e+01,1.487217731585156022e+00,1.583295577598998471e-01,2.782831898166498452e-01
2.220000000000000284e+01,1.490856071229931246e+00,1.583718588511525693e-01,2.783229531116260258e-01
2.230000000000000071e+01,1.493122979263488359e+00,1.581388276629484280e-01,2.782019487181247031e-01
2.240000000000000213e+01,1.496318724354084750e+00,1.577124725716794185e-01,2.781207504933084773e-01
2.250000000000000000e+01,1.500024657019634278e+00,1.581074528175419325e-01,2.784179571121707109e-01
2.260000000000000142e+01,1.504099895698346234e+00,1.591339308593697488e-01,2.795430478372672445e-01
2.270000000000000284e+01,1.506741994999863499e+00,1.598671143354962743e-01,2.807597765312610516e-01
2.280000000000000071e+01,1.509250459434918312e+00,1.604741989777946354e-01,2.811461296011690258e-01
2.290000000000000213e+01,1.510835873188351774e+00,1.605903613790961582e-01,2.813144495975122283e-01
2.300000000000000000e+01,1.513359904443979165e+00,1.602575000408723860e-01,2.809106270311862441e-01
2.310000000000000142e+01,1.515568783141139741e+00,1.599110080211623430e-01,2.804168667321267350e-01
2.320000000000000284e+01,1.518236438856471304e+00,1.599787544636292191e-01,2.805852803046288702e-01
2.330000000000000071e+01,1.521277164447824237e+00,1.598526118743069380e-01,2.808451547535563142e-01
2.340000000000000213e+01,1.523106061808423561e+00,1.591765595781814147e-01,2.802029446203938567e-01
2.350000000000000000e+01,1.525934545488171645e+00,1.586710880910399968e-01,2.795231415413820253e-01
2.360000000000000142e+01,1.529298959191087048e+00,1.585742098774331477e-01,2.798650266559001287e-01
2.370000000000000284e+01,1.532587143122157824e+00,1.589562742274778506e-01,2.804489554314915090e-01
2.380000000000000071e+01,1.535961318584275981e+00,1.600896954699002062e-01,2.815906590307011848e-01
2.390000000000000213e+01,1.539679100658092326e+00,1.607573664001532565e-01,2.826887150410753446e-01
