r_A,lag_1ps_A-1,lag_5ps_A-1,lag_10ps_A-1,lag_50ps_A-1
1.092500000000000071e+01,0.000000000000000000e+00,5.339142320177611077e-05,0.000000000000000000e+00,1.103431045969338088e-02
1.097500000000000142e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.479572155006253727e-05,1.158949589162805091e-02
1.102500000000000036e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.739786077503029624e-04,1.027093049078377750e-02
1.107500000000000107e+01,0.000000000000000000e+00,5.339142320177611077e-05,5.479572155006059249e-05,1.027093049078377750e-02
1.112500000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.191828862002501491e-04,9.785143237841647038e-03
1.117500000000000071e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.082611592271803466e-02
1.122500000000000142e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.739786077503127202e-04,8.674772373973091075e-03
1.127500000000000036e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.643871646501817775e-04,9.229957805907041193e-03
1.132500000000000107e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.095914431001211850e-04,9.299355984898824423e-03
1.137500000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.095914431001250745e-04,7.911392405063459934e-03
1.142500000000000071e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.095914431001211850e-04,8.258383300022089854e-03
