lag_ps,Li_A2,P_A2,S_A2
1.310000000000000142e+01,7.972869566548045128e+00,4.148587667771563847e-01,8.432870515840423797e-01
1.320000000000000107e+01,8.023570168670975278e+00,4.156090569148510050e-01,8.452292643140628670e-01
1.330000000000000071e+01,8.072507132414932229e+00,4.161647130951290907e-01,8.466306544941795131e-01
1.340000000000000036e+01,8.121550707561814519e+00,4.165593037908095764e-01,8.479612836241483542e-01
1.350000000000000000e+01,8.169794839769993544e+00,4.171756466742075897e-01,8.500162504475372582e-01
1.360000000000000142e+01,8.220123770901407667e+00,4.177158218398459577e-01,8.517008649503081674e-01
1.370000000000000107e+01,8.271152945180078930e+00,4.175203342338159596e-01,8.529867565500808269e-01
1.380000000000000071e+01,8.321300081635557788e+00,4.181815550949821714e-01,8.548369410701001092e-01
1.390000000000000036e+01,8.369024371027881770e+00,4.188887568626677993e-01,8.567783128077882671e-01
1.400000000000000000e+01,8.416974826264675968e+00,4.186133416817214847e-01,8.576348077455312469e-01
1.410000000000000142e+01,8.465179858442700933e+00,4.190806964776706556e-01,8.591605225791979494e-01
1.420000000000000107e+01,8.513671762890750117e+00,4.203796735396169715e-01,8.608897468614772341e-01
1.430000000000000071e+01,8.561850909997691161e+00,4.208480305550782452e-01,8.623402173517530356e-01
1.440000000000000036e+01,8.610117224507822797e+00,4.212723842572367317e-01,8.641815851243235258e-01
1.450000000000000000e+01,8.657778359650082578e+00,4.216210432414372322e-01,8.648018990294426001e-01
1.460000000000000142e+01,8.705988218916505872e+00,4.221421128378296528e-01,8.657510244433206381e-01
1.470000000000000107e+01,8.753638087476701912e+00,4.221316392454007027e-01,8.664577729099317560e-01
1.480000000000000071e+01,8.803398374785848191e+00,4.215620111077795218e-01,8.667465107031140370e-01
1.490000000000000036e+01,8.853555539041748190e+00,4.209330066380964630e-01,8.668669867198002255e-01
1.500000000000000000e+01,8.902557989491434398e+00,4.204380986517404217e-01,8.676784838510048781e-01
1.510000000000000142e+01,8.951767706252605095e+00,4.205483133496464299e-01,8.687301266523428378e-01
1.520000000000000107e+01,9.003194515847598112e+00,4.214112609378637408e-01,8.700457103230621048e-01
1.530000000000000071e+01,9.053734426475015695e+00,4.230954760262900516e-01,8.727245925665999549e-01
1.540000000000000036e+01,9.105010858593876932e+00,4.243030404677334833e-01,8.752631889629319817e-01
1.550000000000000000e+01,9.155021763355055242e+00,4.252520067650204516e-01,8.773527353523988825e-01
