# msd.out by GPUMDkit
# Element: Li  |  dt: 1000.0000 fs  |  Frames: 1000  |  Atoms: 144
#     Time(ps)    MSD_x(Ang^2)    MSD_y(Ang^2)    MSD_z(Ang^2)
    393.000000       0.308002       0.299295       0.664701
    394.000000       0.307385       0.300008       0.666219
    395.000000       0.308274       0.300011       0.667840
    396.000000       0.308429       0.299941       0.668969
    397.000000       0.309016       0.301342       0.669616
    398.000000       0.309349       0.302284       0.670410
    399.000000       0.310560       0.303447       0.671140
    400.000000       0.309999       0.303071       0.672617
    401.000000       0.310412       0.303511       0.672675
    402.000000       0.310400       0.303403       0.673101
    403.000000       0.310989       0.304906       0.673963
    404.000000       0.311751       0.305151       0.674677
    405.000000       0.312494       0.305748       0.676355
    406.000000       0.313173       0.305582       0.677432
    407.000000       0.313536       0.306770       0.678082
    408.000000       0.313594       0.306998       0.679442
    409.000000       0.313700       0.307848       0.679753
    410.000000       0.314801       0.308443       0.680007
    411.000000       0.315777       0.308783       0.681300
    412.000000       0.315696       0.309137       0.681918
    413.000000       0.315708       0.309197       0.682076
    414.000000       0.316449       0.309897       0.683911
    415.000000       0.317940       0.310065       0.685423
    416.000000       0.318144       0.310111       0.686034
    417.000000       0.318307       0.311190       0.687479
    418.000000       0.319152       0.312130       0.688400
    419.000000       0.318668       0.312021       0.688684
    420.000000       0.319486       0.312031       0.690374
    421.000000       0.319943       0.312510       0.691075
    422.000000       0.319899       0.313042       0.692683
    423.000000       0.320181       0.313311       0.692740
    424.000000       0.321162       0.314158       0.694428
    425.000000       0.321282       0.314478       0.695602
    426.000000       0.320959       0.314467       0.696581
    427.000000       0.321621       0.315006       0.697860
    428.000000       0.322831       0.315077       0.699054
    429.000000       0.322227       0.315795       0.699629
    430.000000       0.323197       0.315964       0.700914
    431.000000       0.324065       0.316900       0.701637
    432.000000       0.324236       0.317680       0.703071
    433.000000       0.324739       0.318068       0.704272
    434.000000       0.325082       0.317736       0.705356
    435.000000       0.324997       0.317746       0.705784
    436.000000       0.325227       0.318481       0.706602
    437.000000       0.325352       0.318613       0.707822
    438.000000       0.326254       0.318802       0.709575
    439.000000       0.326563       0.319199       0.710347
    440.000000       0.327050       0.319466       0.711649
    441.000000       0.327690       0.319447       0.713225
    442.000000       0.328228       0.319591       0.714540
    443.000000       0.328608       0.320099       0.714456
    444.000000       0.329796       0.320927       0.715809
    445.000000       0.329188       0.321487       0.716718
    446.000000       0.329958       0.321250       0.717229
    447.000000       0.330904       0.322773       0.717714
    448.000000       0.331299       0.322505       0.717779
    449.000000       0.331331       0.322827       0.719147
    450.000000       0.332106       0.323324       0.719939
    451.000000       0.332417       0.324042       0.720407
    452.000000       0.332476       0.323856       0.721914
    453.000000       0.333767       0.323465       0.722627
    454.000000       0.333128       0.324120       0.724548
    455.000000       0.333424       0.324661       0.724968
    456.000000       0.334863       0.324846       0.726558
    457.000000       0.335762       0.325063       0.727901
    458.000000       0.335404       0.325858       0.729177
    459.000000       0.336324       0.325769       0.730579
    460.000000       0.335916       0.325817       0.731889
    461.000000       0.336058       0.326957       0.732484
    462.000000       0.337179       0.327478       0.733318
    463.000000       0.336341       0.327568       0.733899
    464.000000       0.337148       0.328489       0.736484
    465.000000       0.338209       0.328325       0.736069
    466.000000       0.338928       0.328463       0.736855
    467.000000       0.339716       0.329251       0.739347
    468.000000       0.339650       0.329043       0.738586
    469.000000       0.340536       0.329293       0.740714
    470.000000       0.341207       0.329001       0.740840
    471.000000       0.341397       0.329910       0.743209
    472.000000       0.341217       0.330400       0.744754
    473.000000       0.342365       0.329706       0.744950
    474.000000       0.342568       0.330903       0.746269
    475.000000       0.341818       0.330658       0.747003
    476.000000       0.342827       0.332180       0.747180
    477.000000       0.342863       0.331927       0.747390
    478.000000       0.343021       0.332315       0.748895
    479.000000       0.343266       0.332679       0.749568
    480.000000       0.343680       0.333978       0.749885
    481.000000       0.344161       0.333489       0.749831
    482.000000       0.344769       0.334262       0.751460
    483.000000       0.344719       0.335311       0.751808
    484.000000       0.344784       0.335899       0.753389
    485.000000       0.345690       0.335980       0.754658
    486.000000       0.345457       0.336586       0.755359
    487.000000       0.346321       0.336444       0.757067
    488.000000       0.346544       0.336771       0.757814
    489.000000       0.347730       0.337719       0.760177
    490.000000       0.347620       0.338880       0.760495
    491.000000       0.348316       0.338592       0.761415
    492.000000       0.348938       0.339007       0.764049
    493.000000       0.349150       0.339018       0.765366
    494.000000       0.349575       0.340565       0.766043
    495.000000       0.350357       0.340655       0.768011
    496.000000       0.350617       0.342093       0.769923
    497.000000       0.353294       0.342205       0.771087
    498.000000       0.353863       0.343498       0.772407
    499.000000       0.354877       0.343013       0.774245
    500.000000       0.354040       0.343754       0.775433
