lag_ps,Li_A2,Zr_A2,Cl_A2,S_A2,O_A2
1.700000000000000000e+01,1.162818584088110674e+00,3.413474521221392388e-01,6.703084647622402636e-01,2.832681535433130837e-01,4.064401290897822205e-01
1.710000000000000142e+01,1.166566562922725092e+00,3.420499059715860213e-01,6.722324520736973064e-01,2.838643071035366061e-01,4.074654600887421263e-01
1.719999999999999929e+01,1.171471961746883172e+00,3.433049255189083437e-01,6.745068941388241424e-01,2.847059279247975416e-01,4.086666060312996174e-01
1.730000000000000071e+01,1.174393036820315261e+00,3.445139537024877741e-01,6.761291025883815475e-01,2.854780396362576189e-01,4.098499335663287613e-01
1.740000000000000213e+01,1.177715047139700211e+00,3.456725289728812545e-01,6.776991569890562506e-01,2.862549126060526805e-01,4.106986636118916678e-01
1.750000000000000000e+01,1.179997248240756580e+00,3.468563936658514701e-01,6.796589973303185372e-01,2.873387844618812137e-01,4.120131022800245790e-01
1.760000000000000142e+01,1.184823591086159089e+00,3.479964249536338650e-01,6.814399540868952831e-01,2.883354469616634663e-01,4.132412239584358771e-01
1.769999999999999929e+01,1.187201265039386833e+00,3.489796749381555707e-01,6.826519798996780741e-01,2.889327250953384607e-01,4.137396712460444381e-01
1.780000000000000071e+01,1.188805538663191275e+00,3.497997600402099616e-01,6.840236826496547407e-01,2.894423210856605921e-01,4.145057101157381130e-01
1.790000000000000213e+01,1.191101025768033450e+00,3.508855198675498999e-01,6.857291330858850120e-01,2.896507254877491166e-01,4.152953546989759381e-01
1.800000000000000000e+01,1.193098743624151137e+00,3.518334881372706668e-01,6.877204719972231928e-01,2.901358613461022529e-01,4.157088578564143155e-01
1.810000000000000142e+01,1.195622250857773405e+00,3.524957527472161734e-01,6.896549837695550300e-01,2.905479106757147267e-01,4.163705964225506984e-01
1.819999999999999929e+01,1.197555119176949789e+00,3.526649451221700593e-01,6.907703788494357067e-01,2.908499771799490374e-01,4.170307278768724535e-01
1.830000000000000071e+01,1.199904492354936680e+00,3.526418334379094466e-01,6.912862139024731345e-01,2.905781273738384241e-01,4.168756728725153682e-01
1.840000000000000213e+01,1.202909899040340180e+00,3.525762141408628203e-01,6.920228592165663661e-01,2.908234719227389409e-01,4.173560037827805380e-01
1.850000000000000000e+01,1.202399073581120970e+00,3.524178925355501701e-01,6.927913398433376280e-01,2.910230796136513698e-01,4.179993927331880355e-01
1.860000000000000142e+01,1.205575068236806047e+00,3.522776088156078789e-01,6.940216829281835587e-01,2.912748898061414127e-01,4.186735571083191054e-01
1.869999999999999929e+01,1.209183787145293953e+00,3.523067740508116774e-01,6.952058032914936181e-01,2.912368127217170310e-01,4.192274200779029236e-01
1.880000000000000071e+01,1.211227968015437639e+00,3.525117990734606410e-01,6.962006528228547042e-01,2.910150977288348262e-01,4.191076210576470951e-01
1.890000000000000213e+01,1.213581478986855533e+00,3.529105901441056403e-01,6.972408169738183448e-01,2.909361136723149222e-01,4.189164018414379131e-01
1.900000000000000000e+01,1.215914872279256542e+00,3.536873278299236811e-01,6.980809249159778407e-01,2.910086291272163672e-01,4.187356036987019414e-01
1.910000000000000142e+01,1.216780267410329852e+00,3.547241905001172202e-01,6.993436338004316299e-01,2.916334921705543426e-01,4.195216361247636749e-01
