time_ps,T_K,P_GPa,PE_eV_atom,rho_g_cm3
1.650000000000000000e+01,7.178290809799999579e+02,6.411659959999998874e-03,-4.793058001197916695e+00,1.568442554843944681e+00
1.655000000000000071e+01,7.164404985400000214e+02,-1.318555348785999948e-01,-4.795377342447916469e+00,1.568133510448148416e+00
1.660000000000000142e+01,7.683839464599999474e+02,4.061895193633333623e-01,-4.800438855520833492e+00,1.567347966663746872e+00
1.665000000000000213e+01,7.432140328799999907e+02,-5.756003119389999784e-02,-4.793087157499999584e+00,1.555710095541925853e+00
1.669999999999999929e+01,7.807478594100000464e+02,1.294721698733333481e-01,-4.790603347864583306e+00,1.545627875425657605e+00
1.675000000000000000e+01,8.119859407400000464e+02,1.123378779433333308e-01,-4.788779969531249847e+00,1.533754749090286085e+00
1.680000000000000071e+01,8.285745985400000109e+02,-1.103726584243333447e-01,-4.789068361197917234e+00,1.519548579223523932e+00
1.685000000000000142e+01,7.734496167300000025e+02,1.153219698333333466e-02,-4.781368879218749868e+00,1.508658194231343064e+00
1.690000000000000213e+01,8.486163216700000476e+02,2.801861307266667045e-01,-4.791041546822916608e+00,1.499092371378260236e+00
1.694999999999999929e+01,8.041576811899999484e+02,-2.571843128526666855e-01,-4.787247808854166564e+00,1.482303700967831706e+00
1.700000000000000000e+01,8.227476858100000072e+02,-1.503147989103333637e-01,-4.791581697812500096e+00,1.469434669134238369e+00
1.705000000000000071e+01,7.962517979199999445e+02,-3.467492637511300213e-01,-4.790935792708332919e+00,1.463146152356960217e+00
1.710000000000000142e+01,7.719919278999999506e+02,2.465414915336666679e-01,-4.790969388645833327e+00,1.463095177686043025e+00
1.715000000000000213e+01,8.036290070200000173e+02,-3.201536904933333649e-01,-4.798128827916666950e+00,1.457663987619976620e+00
1.719999999999999929e+01,7.302998747599999660e+02,-7.182154937166666808e-02,-4.792247593385416948e+00,1.458258417616226987e+00
1.725000000000000000e+01,7.412546494700000039e+02,-9.276913463899999490e-02,-4.795454704322916761e+00,1.466277852306683060e+00
1.730000000000000071e+01,7.795373531599999524e+02,1.747552188526666495e-01,-4.798476999010416577e+00,1.478799416528944199e+00
1.735000000000000142e+01,8.019226387100000011e+02,-9.543158055266666440e-02,-4.797391988750000280e+00,1.486558284346744863e+00
1.740000000000000213e+01,7.693635421799999676e+02,3.496356441799999826e-01,-4.787401009791666162e+00,1.496044952865744904e+00
1.744999999999999929e+01,8.228209403399999928e+02,-1.470029259933333388e-01,-4.788456218906250506e+00,1.497024205127354568e+00
1.750000000000000000e+01,8.625345903600000383e+02,1.919075619826666745e-01,-4.790557337031249752e+00,1.498407387539238300e+00
1.755000000000000071e+01,8.220409775099999479e+02,-9.614089991066666896e-02,-4.786136214531249600e+00,1.494932978628685571e+00
1.760000000000000142e+01,8.576599979999999732e+02,-1.069696649433333341e-01,-4.793958842447916702e+00,1.493910557552950547e+00
1.765000000000000213e+01,7.814110690300000215e+02,-1.503031508933333482e-01,-4.789653559739583066e+00,1.496339685200500202e+00
1.769999999999999929e+01,8.041579213999999638e+02,1.029336139066666655e-01,-4.797707935364583065e+00,1.501076590480798334e+00
