lag_ps,Li_A2,Zr_A2,O_A2,Cl_A2
5.299999999999999822e+00,9.920348219809584478e+00,1.562346548798209112e+00,1.103780900997490821e+00,3.740076136076495583e+00
5.400000000000000355e+00,1.007256037065225485e+01,1.578758657973493795e+00,1.115156764927188515e+00,3.784187623879704976e+00
5.500000000000000000e+00,1.022553229431469823e+01,1.594492458223189413e+00,1.124523116951834822e+00,3.828073843506638152e+00
5.599999999999999645e+00,1.037590335857399992e+01,1.610545298184881569e+00,1.137142728986747731e+00,3.871612453121816788e+00
5.700000000000000178e+00,1.052053453313648923e+01,1.627148576752400322e+00,1.147277147783748896e+00,3.914256601632378541e+00
5.799999999999999822e+00,1.066522288240279259e+01,1.642891828062505777e+00,1.157627954226915445e+00,3.955075682063657005e+00
5.900000000000000355e+00,1.081154358275317762e+01,1.658455946284718596e+00,1.167348110537393957e+00,3.996359155289530563e+00
6.000000000000000000e+00,1.095577601814238911e+01,1.674591975899187846e+00,1.178390055392070979e+00,4.037304244292230671e+00
6.099999999999999645e+00,1.109273715006145444e+01,1.689695194528723299e+00,1.187422964356199984e+00,4.077092639761064952e+00
6.200000000000000178e+00,1.123430806528894443e+01,1.704647344103723983e+00,1.197457607943830160e+00,4.115739151326632594e+00
6.299999999999999822e+00,1.137801339572721204e+01,1.718669902236282576e+00,1.206513825001852780e+00,4.153227144954108496e+00
6.400000000000000355e+00,1.151645974848296383e+01,1.731416637596727925e+00,1.215181943750262672e+00,4.189464864757439955e+00
6.500000000000000000e+00,1.165888157986150020e+01,1.744355528387299792e+00,1.222205304966503814e+00,4.225825492975580744e+00
6.599999999999999645e+00,1.180800360835111462e+01,1.758095849292275803e+00,1.228556607343630924e+00,4.262236377960087808e+00
6.700000000000000178e+00,1.195862559918961843e+01,1.770918158207948512e+00,1.237143017784619659e+00,4.298142890324486487e+00
6.799999999999999822e+00,1.210333656630676913e+01,1.783970849578571105e+00,1.243249249522055511e+00,4.334857320202953446e+00
6.900000000000000355e+00,1.224779908289350772e+01,1.796971321147619260e+00,1.250930933805316725e+00,4.372246938689239748e+00
7.000000000000000000e+00,1.239774660365617720e+01,1.809660228722770547e+00,1.258700298147645391e+00,4.410275172768791663e+00
7.099999999999999645e+00,1.255025696507228794e+01,1.821945937997603293e+00,1.266891291651152329e+00,4.447025592732495980e+00
7.200000000000000178e+00,1.269614464848668689e+01,1.833493267799645832e+00,1.273178936086971635e+00,4.481010641609218581e+00
7.299999999999999822e+00,1.284335017316113259e+01,1.844557781315560696e+00,1.279572386238295278e+00,4.515466883463266967e+00
7.400000000000000355e+00,1.299088677295301864e+01,1.855892446383490046e+00,1.286227319086463261e+00,4.549769919528831252e+00
7.500000000000000000e+00,1.313781751963747801e+01,1.867842486474837749e+00,1.294307462886632676e+00,4.584800985715294708e+00
7.599999999999999645e+00,1.328335673538397721e+01,1.879722134276069934e+00,1.301627715275208708e+00,4.620009914691986630e+00
7.700000000000000178e+00,1.342875944023731272e+01,1.891212933751691194e+00,1.310469863968408921e+00,4.654679766312565192e+00
7.799999999999999822e+00,1.357115107156689504e+01,1.903728511558634207e+00,1.318906906447284699e+00,4.688790107716661382e+00
7.900000000000000355e+00,1.371690501014505337e+01,1.917176331882446849e+00,1.328370957078599757e+00,4.722163692596790696e+00
