lag_ps,Li_A2,Zr_A2,O_A2,Cl_A2
1.309999999999999964e+01,4.948038493104607483e+01,1.731745975915528746e+01,9.754682502095191055e+00,3.077773202518082485e+01
1.320000000000000107e+01,4.983925562552761335e+01,1.742756901183237517e+01,9.815041067472034086e+00,3.095498960392451337e+01
1.330000000000000071e+01,5.019668206632512408e+01,1.753746073570239972e+01,9.873325180802627443e+00,3.113067528149631258e+01
1.340000000000000036e+01,5.055651391167938868e+01,1.764711240092690403e+01,9.932650281914771284e+00,3.130541041048319784e+01
1.350000000000000000e+01,5.091600770542069654e+01,1.775603205905365556e+01,9.992412535247934713e+00,3.147956996177789435e+01
1.359999999999999964e+01,5.127331293400524004e+01,1.786610870330211043e+01,1.005404944837631653e+01,3.165305054864312240e+01
1.370000000000000107e+01,5.162879560000211399e+01,1.797555868494862708e+01,1.011635133659634889e+01,3.182608533109416271e+01
1.380000000000000071e+01,5.198609834227806914e+01,1.808416184363538903e+01,1.017661895477359124e+01,3.199913141305652076e+01
1.390000000000000036e+01,5.233768839021653463e+01,1.819259114779383779e+01,1.023443448227264518e+01,3.217278205514912770e+01
1.400000000000000000e+01,5.268956906049202615e+01,1.830126154600229427e+01,1.029389626564030991e+01,3.234665232578615246e+01
1.409999999999999964e+01,5.304217977162061715e+01,1.840923824989698687e+01,1.035441260262835605e+01,3.251986993890103861e+01
1.420000000000000107e+01,5.338968886698729222e+01,1.851669264863339492e+01,1.041315348974164046e+01,3.269362964855834974e+01
1.430000000000000071e+01,5.374529414472359434e+01,1.862378142350164367e+01,1.047214157607661988e+01,3.286698601913395379e+01
1.440000000000000036e+01,5.409305862473821946e+01,1.873101457966377481e+01,1.052948988106037476e+01,3.303894564996664940e+01
1.450000000000000000e+01,5.444302506385493956e+01,1.883725813438298857e+01,1.058510971574999360e+01,3.321114559619196882e+01
1.459999999999999964e+01,5.479222923898936415e+01,1.894353109856794148e+01,1.064110252827645731e+01,3.338427398927587575e+01
1.470000000000000107e+01,5.514193420318079575e+01,1.904854906658569291e+01,1.069691384489650510e+01,3.355587909738388674e+01
1.480000000000000071e+01,5.549127355163863484e+01,1.915346075996513520e+01,1.075259383560184112e+01,3.372685712270227754e+01
1.490000000000000036e+01,5.584196389691648932e+01,1.925847433182493873e+01,1.080876343965595332e+01,3.389768446076405439e+01
1.500000000000000000e+01,5.618903385750934376e+01,1.936256545794556772e+01,1.086471073637700790e+01,3.406873361873598327e+01
1.509999999999999964e+01,5.653950571423782634e+01,1.946731124881036123e+01,1.092219176883562248e+01,3.423990178429395570e+01
1.520000000000000107e+01,5.688943741813611865e+01,1.957292409496326968e+01,1.098021062765866063e+01,3.441127453187100826e+01
1.530000000000000071e+01,5.723673251727914391e+01,1.967893488970406324e+01,1.103863011821229989e+01,3.458198559686969986e+01
1.540000000000000036e+01,5.758073531812663504e+01,1.978495198832445467e+01,1.109765236796397048e+01,3.475186678272975627e+01
1.550000000000000000e+01,5.792451326326973060e+01,1.988989107416138680e+01,1.115710859322538262e+01,3.492088321217602953e+01
1.559999999999999964e+01,5.827288433838160131e+01,1.999558572114656485e+01,1.121779599065303756e+01,3.508974756627250713e+01
1.570000000000000107e+01,5.862148021189387492e+01,2.010173214571386069e+01,1.128211160106817879e+01,3.525851501197732318e+01
1.580000000000000071e+01,5.897463354581365991e+01,2.020728116335957125e+01,1.134403056795563280e+01,3.542597331562448915e+01
1.590000000000000036e+01,5.932414923078025737e+01,2.031324585162363050e+01,1.140676392692703978e+01,3.559455832344031023e+01
1.600000000000000000e+01,5.967622074448758696e+01,2.041889015254723105e+01,1.146923717642612317e+01,3.576335969730085651e+01
1.610000000000000142e+01,6.002361102685983951e+01,2.052511652912752638e+01,1.153286436426593475e+01,3.593268646299604541e+01
1.619999999999999929e+01,6.037471607892462089e+01,2.063237765290469028e+01,1.159790757557831320e+01,3.610299518818231235e+01
1.630000000000000071e+01,6.072521444663775725e+01,2.074117598247545402e+01,1.166078153810219220e+01,3.627376656041976588e+01
1.639999999999999858e+01,6.107305617634354178e+01,2.085165348615494452e+01,1.172307279584931727e+01,3.644480434402876057e+01
1.650000000000000000e+01,6.142201001496101043e+01,2.096311637284287954e+01,1.178760709503884385e+01,3.661653698850469851e+01
1.660000000000000142e+01,6.177310849577207819e+01,2.107601105359164606e+01,1.185398629033150542e+01,3.678969176681347619e+01
1.669999999999999929e+01,6.212253694963113304e+01,2.119084221843007043e+01,1.192135704023520049e+01,3.696365073978958549e+01
1.680000000000000071e+01,6.247145500241634863e+01,2.130518112582123891e+01,1.199026119191328732e+01,3.713802757637822083e+01
