lag_ps,Li_A2,Zr_A2,Cl_A2,S_A2,O_A2
1.230000000000000071e+01,1.722538287468396989e+00,6.672098854429617809e-01,1.582257780520580859e+00,4.671592658534987064e-01,7.195217307156136499e-01
1.240000000000000036e+01,1.729482338125458263e+00,6.696496769587755304e-01,1.588701966124270282e+00,4.687998181447188828e-01,7.220376155687937558e-01
1.250000000000000000e+01,1.736163988432273042e+00,6.714933761449123351e-01,1.595111879126080101e+00,4.702875390538829858e-01,7.240150647269250062e-01
1.260000000000000142e+01,1.743098859443372062e+00,6.734589783933634388e-01,1.602385254598717390e+00,4.711662474957207247e-01,7.256150969218549962e-01
1.270000000000000107e+01,1.750522404588716219e+00,6.751265135869785050e-01,1.609138914644874685e+00,4.722052969066116712e-01,7.274502792527779427e-01
1.280000000000000071e+01,1.758398236299612893e+00,6.764443447456939262e-01,1.615089173026081459e+00,4.727465290286420596e-01,7.288668143853193060e-01
1.290000000000000036e+01,1.764182951444397185e+00,6.779247400804453427e-01,1.621166752947827083e+00,4.733773023400505986e-01,7.301974385281791990e-01
1.300000000000000000e+01,1.768771339156112177e+00,6.796709577231779820e-01,1.627434430905605689e+00,4.739553378905123626e-01,7.318072485318475318e-01
1.310000000000000142e+01,1.772825479687796690e+00,6.812690852774289096e-01,1.632910735329165641e+00,4.741008689675590415e-01,7.324158454567676335e-01
1.320000000000000107e+01,1.776674705022068812e+00,6.831804724832808429e-01,1.638363801427716426e+00,4.743834206293846001e-01,7.335486371121282545e-01
1.330000000000000071e+01,1.781588728244188458e+00,6.856029788576984974e-01,1.644397710858627404e+00,4.755997728804951530e-01,7.353044316384572676e-01
1.340000000000000036e+01,1.789397603474182530e+00,6.888493760639337049e-01,1.652041929583053737e+00,4.779355328574956263e-01,7.387117906943941881e-01
1.350000000000000000e+01,1.794891477214143771e+00,6.919298519245803414e-01,1.658951561912482608e+00,4.805847764928827814e-01,7.420831420375975096e-01
1.360000000000000142e+01,1.801514183207192366e+00,6.950025248814726275e-01,1.666137841749583570e+00,4.832787596986231060e-01,7.454210013650078848e-01
1.370000000000000107e+01,1.811009125167653888e+00,6.977862949541893123e-01,1.672299945156046519e+00,4.854351403159550826e-01,7.486558283596409513e-01
1.380000000000000071e+01,1.816308321917124102e+00,6.997425556477404607e-01,1.677057131815387514e+00,4.862778674281397762e-01,7.497153494772503812e-01
1.390000000000000036e+01,1.823863589633988536e+00,7.014324951635027006e-01,1.682528836964330532e+00,4.873885231749350289e-01,7.514340822735630088e-01
1.400000000000000000e+01,1.831125075529682178e+00,7.028744854864958924e-01,1.686913573066412653e+00,4.878311986676386325e-01,7.522252073613021617e-01
1.410000000000000142e+01,1.836293215226502129e+00,7.047725736920705808e-01,1.692709503850438502e+00,4.888951116315164436e-01,7.540224115993653387e-01
1.420000000000000107e+01,1.840180683631231329e+00,7.067985168805344109e-01,1.699012060727474127e+00,4.896137270514000495e-01,7.556286824390391343e-01
1.430000000000000071e+01,1.846351794590358697e+00,7.087129945894146132e-01,1.704282538365980537e+00,4.909323329402527358e-01,7.572520546581481549e-01
