lag_ps,Li_MSD_A2,Li_COM_removed_window_MSD_A2,single_origin_system_COM_removed_A2
2.460000000000000142e+01,3.767992295150801141e+01,3.642713334628076893e+01,3.669912376216672101e+01
2.469999999999999929e+01,3.780807108670217787e+01,3.655265952193379775e+01,3.594668350334899998e+01
2.480000000000000071e+01,3.793460817915784133e+01,3.667568338177191833e+01,3.506448607847271148e+01
2.490000000000000213e+01,3.806060411910182495e+01,3.679804017144621042e+01,3.513982384005392845e+01
2.500000000000000000e+01,3.818405163222161036e+01,3.691770008282474436e+01,3.622901916762081242e+01
2.510000000000000142e+01,3.830835570229546505e+01,3.703815716232171695e+01,3.715839393951620195e+01
2.519999999999999929e+01,3.843791649504454710e+01,3.716392340964621610e+01,3.695563849134959611e+01
2.530000000000000071e+01,3.856513372905729398e+01,3.728763537409959383e+01,3.898252645888338463e+01
2.540000000000000213e+01,3.869154847335649094e+01,3.740984013192976221e+01,3.801081828199205859e+01
2.550000000000000000e+01,3.881874382784906174e+01,3.753292922607334248e+01,3.889544008529195196e+01
2.560000000000000142e+01,3.894535050915722252e+01,3.765524858499716032e+01,4.019336047010904878e+01
2.569999999999999929e+01,3.906974814698872223e+01,3.777523268301434456e+01,4.024369161388700888e+01
2.580000000000000071e+01,3.919267308243166070e+01,3.789395720090634256e+01,4.070703272481385682e+01
2.590000000000000213e+01,3.931293124323808286e+01,3.800994155757070558e+01,4.021328021016366705e+01
2.600000000000000000e+01,3.943653176555376660e+01,3.812868639346076804e+01,3.995995614324147027e+01
2.610000000000000142e+01,3.956492043535506298e+01,3.825163993107819493e+01,4.155752795364952590e+01
2.619999999999999929e+01,3.969376028301726222e+01,3.837512729121185373e+01,4.243479494717505673e+01
2.630000000000000071e+01,3.982341384717450694e+01,3.849947714902269524e+01,4.163807565307924108e+01
