lag_ps,MSD_A2
2.160000000000000142e+01,1.327701049397558952e+00
2.170000000000000284e+01,1.328905580121384489e+00
2.180000000000000071e+01,1.328886162455995557e+00
2.190000000000000213e+01,1.331411268654985269e+00
2.200000000000000000e+01,1.332928241053986884e+00
2.210000000000000142e+01,1.335032527013123804e+00
2.220000000000000284e+01,1.335883054808526094e+00
2.230000000000000071e+01,1.337383171061445220e+00
2.240000000000000213e+01,1.340363252793006055e+00
2.250000000000000000e+01,1.339969510325990321e+00
2.260000000000000142e+01,1.340366548253720369e+00
2.270000000000000284e+01,1.341021605671320005e+00
2.280000000000000071e+01,1.341618868552256982e+00
2.290000000000000213e+01,1.343297567801864600e+00
2.300000000000000000e+01,1.346500511727891203e+00
2.310000000000000142e+01,1.348026987782578345e+00
2.320000000000000284e+01,1.347174079237573485e+00
2.330000000000000071e+01,1.347090467363963651e+00
2.340000000000000213e+01,1.346661550864924894e+00
2.350000000000000000e+01,1.349154720509982086e+00
2.360000000000000142e+01,1.350379148730216583e+00
2.370000000000000284e+01,1.350269660829479301e+00
2.380000000000000071e+01,1.350340804667303996e+00
2.390000000000000213e+01,1.349930642379714607e+00
2.400000000000000000e+01,1.347371801183009810e+00
2.410000000000000142e+01,1.346642713071291242e+00
2.420000000000000284e+01,1.345471903301711736e+00
2.430000000000000071e+01,1.346863768815850460e+00
2.440000000000000213e+01,1.346705880822474777e+00
2.450000000000000000e+01,1.346945330247420136e+00
2.460000000000000142e+01,1.345583595812737787e+00
2.470000000000000284e+01,1.347023676104279977e+00
2.480000000000000071e+01,1.349479089140060317e+00
2.490000000000000213e+01,1.350472064329695465e+00
2.500000000000000000e+01,1.350562578800879265e+00
2.510000000000000142e+01,1.353149920731373079e+00
2.520000000000000284e+01,1.354006811335774163e+00
2.530000000000000071e+01,1.354740401162208618e+00
2.540000000000000213e+01,1.355925139913594535e+00
2.550000000000000000e+01,1.358023185802262445e+00
2.560000000000000142e+01,1.357375255763970667e+00
2.570000000000000284e+01,1.356216444644621655e+00
2.580000000000000071e+01,1.357707995512581478e+00
2.590000000000000213e+01,1.356111254976466673e+00
2.600000000000000000e+01,1.356171306604278426e+00
2.610000000000000142e+01,1.358927053317692923e+00
2.620000000000000284e+01,1.362539635556019313e+00
2.630000000000000071e+01,1.364355547653375744e+00
2.640000000000000213e+01,1.364255222115542621e+00
2.650000000000000000e+01,1.366628772603303732e+00
2.660000000000000142e+01,1.367080947227914178e+00
2.670000000000000284e+01,1.365376178536063190e+00
2.680000000000000071e+01,1.365947306101779057e+00
2.690000000000000213e+01,1.367224455936841387e+00
2.700000000000000000e+01,1.366986889089222945e+00
2.710000000000000142e+01,1.367233719533611946e+00
2.720000000000000284e+01,1.368879775340697158e+00
2.730000000000000071e+01,1.372783387417525036e+00
2.740000000000000213e+01,1.371846171940594772e+00
2.750000000000000000e+01,1.371847202226141871e+00
2.760000000000000142e+01,1.371827962801194678e+00
